#{"t_start": 1789350253.153331, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
-3.231299,15,0.395468,-3.2312985131229897,-0.137491331364916,15,0.0
4.886289,20,0.400265,4.886288849111511,-0.11244762846875299,20,0.0
-10.156892,26,0.405013,-10.156892385367195,-0.280559484730742,26,0.0
-2.118716,9,0.406991,-2.118715831352435,-0.08068611638467044,9,0.0
-4.646126,16,0.410471,-4.64612565593596,-0.15679501514574792,16,0.0
-3.967922,8,0.412073,-3.9679216130217143,-0.08752640723906427,8,0.0
-12.062329,54,0.423152,-12.062328524171022,-0.5191145083721215,54,0.0
-3.368391,11,0.425205,-3.3683908877076525,-0.10672264083260442,11,0.0
-3.48784,10,0.427162,-3.487840270902878,-0.09965809660721503,10,0.0
-3.731232,23,0.431956,-3.731231678662051,-0.20529924922651183,23,0.0
-2.731842,10,0.43394,-2.731842377775667,-0.09362347611388819,10,0.0
-5.550006,17,0.437235,-5.550005582909437,-0.17197708275767684,17,0.0
-2.611279,14,0.440277,-2.6112792435864787,-0.12454279947919314,14,0.0
-3.675828,13,0.442822,-3.67582757492279,-0.1250811522631503,13,0.0
-5.151234,12,0.44529,-5.151233723475444,-0.12885536313872661,12,0.0
0.935341,16,0.450142,0.9353409187418862,-0.11211621925680527,16,0.0
1.095409,18,0.453761,1.0954085277545205,-0.126764855519002,18,0.0
5.367232,24,0.458865,5.367232120822692,-0.14042540124342928,24,0.0
-3.836285,12,0.461434,-3.8362853728651354,-0.11841131511438438,12,0.0
-3.966402,13,0.464062,-3.966402433905814,-0.12740430941786668,13,0.0
-8.920729,15,0.467054,-8.920728877390163,-0.18301431175903146,15,0.0
-4.530622,20,0.470888,-4.530622244141806,-0.18775438071064499,20,0.0
-4.39142,12,0.473056,-4.391420053805426,-0.12283717846608323,12,0.0
-2.647073,29,0.478158,-2.647073451772939,-0.244483667656732,29,0.0
-2.881721,14,0.481272,-2.8817206774341773,-0.12667094023113468,14,0.0
-1.601086,17,0.484701,-1.6010861002410417,-0.14041886848419058,17,0.0
4.767318,23,0.489298,4.76731833226246,-0.1373160811323886,23,0.0
-3.446146,11,0.491386,-3.446146294485023,-0.10730131780550771,11,0.0
4.988281,22,0.495394,4.988280882397203,-0.12759575158793848,22,0.0
3.319973,22,0.691807,3.319972937339516,-0.140880261686671,22,0.0
-3.783765,8,0.693449,-3.783764600396033,-0.08609982149668684,8,0.0
0.798345,12,0.695798,0.7983451463478102,-0.08126854322108593,12,0.0
23.733243,56,0.70735,23.733242716339976,-0.24877741819767213,56,0.0
5.71843,19,0.711337,5.718430284430877,-0.09782620722551534,19,0.0
-4.640941,10,0.713255,-4.640941242068821,-0.10887043011811227,10,0.0
-3.583813,10,0.715109,-3.5838133336901663,-0.10041740227428823,10,0.0
-3.668917,23,0.719256,-3.668916970547875,-0.20482449213088028,23,0.0
8.26247,25,0.72396,8.262470052790642,-0.1252266974720821,25,0.0
-2.015745,17,0.727157,-2.015745369989711,-0.1436652158613675,17,0.0
6.223802,21,0.73143,6.223801652292154,-0.10972575334015197,21,0.0
-3.511668,26,0.73644,-3.5116677854851157,-0.22740968188191824,26,0.0
-7.879979,20,0.740523,-7.879978771337254,-0.21455567168457018,20,0.0
-5.08189,11,0.742619,-5.081889816841977,-0.1203578299828092,11,0.0
-3.290219,24,0.747014,-3.290219275646371,-0.20968674204511564,24,0.0
-6.232086,19,0.751187,-6.232086072236699,-0.19341419762626982,19,0.0
1.629216,21,0.755262,1.6292158959142893,-0.1464646522466555,21,0.0
-6.592345,18,0.758626,-6.592344979376826,-0.18826056283502515,18,0.0
0.831147,24,0.763346,0.8311468577659784,-0.17678976912558445,24,0.0
-0.96523,18,0.76673,-0.9652302796531289,-0.1432907002181171,18,0.0
-12.439,23,0.771482,-12.438999981918297,-0.2749504835210436,23,0.0
