#{"t_start": 1789350253.154662, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
1.125236,18,0.729223,0.8299249407419906,-0.12894967342797373,18,0.0
12.230156,27,0.737069,11.118033151192922,-0.11840578600816908,27,0.0
-6.29368,19,0.741603,-6.686968881041944,-0.19701207665949103,19,0.0
1.356748,24,0.748107,0.5847567174974617,-0.17872936626753227,24,0.0
-3.441182,10,0.750196,-3.4411819514331206,-0.09929592017455159,10,0.0
2.174324,13,0.752659,2.1743244099022787,-0.07825880975010845,13,0.0
-1.971604,11,0.754797,-1.9716040221553117,-0.09549442239165143,11,0.0
-2.343701,19,0.758978,-2.736159994631457,-0.16543018632953174,19,0.0
-4.363342,19,0.763216,-4.757223082393015,-0.18160772202099545,19,0.0
-3.491832,13,0.765776,-3.4918320351809085,-0.12361207890645996,13,0.0
-2.071287,11,0.768274,-2.0712870869726396,-0.09632556972778328,11,0.0
0.295793,10,0.770415,0.29579340425941747,-0.06935459257351849,10,0.0
1.171488,28,0.778523,0.05594892154347009,-0.21487845431030603,28,0.0
-2.892593,10,0.780636,-2.8925928141426285,-0.09487950729092061,10,0.0
-0.692538,16,0.784044,-0.7967387311389682,-0.12596614665854425,16,0.0
10.745433,24,0.790965,9.892226580247838,-0.10417512276435946,24,0.0
-8.235313,13,0.793637,-8.235313265270173,-0.1615592705116614,13,0.0
-2.346023,13,0.796185,-2.346023171798231,-0.11447949669795407,13,0.0
1.236941,14,0.799279,1.2369405863160705,-0.0938015072749507,14,0.0
18.153766,31,0.808299,16.899569670819197,-0.10400485340945066,31,0.0
4.83918,30,0.81714,3.6465376225587462,-0.20212843710086603,30,0.0
2.290477,18,0.821336,1.996493785122063,-0.11957124840418527,18,0.0
-7.992682,15,0.82415,-7.992681862355169,-0.17555841099684652,15,0.0
-6.216408,18,0.828565,-6.505607868496391,-0.1875926408605506,18,0.0
-8.188476,22,0.83426,-8.855542501923047,-0.23826755456970541,22,0.0
3.855113,17,0.838155,3.6500292991137684,-0.09838145643354312,17,0.0
24.468251,43,1.039611,22.472701313405405,-0.1551048568862444,43,0.0
-5.493733,25,1.047082,-6.321706274478295,-0.24189764286820267,25,0.0
-2.906741,18,1.052326,-3.205594332623647,-0.16123488752797527,18,0.0
17.331439,35,1.063439,15.634309878860822,-0.14602648311064212,35,0.0
-5.006469,16,1.066923,-5.1172379660058755,-0.1605837598058298,16,0.0
2.39057,15,1.06996,2.3905703952780426,-0.09251428912066857,15,0.0
-4.719553,13,1.07306,-4.719552646022729,-0.13340573527369254,13,0.0
2.475398,14,1.075735,2.4753984797369704,-0.0838487712833315,14,0.0
8.10046,23,1.082237,7.3174992605222124,-0.11689141223030709,23,0.0
30.775,46,1.09711,28.85792534759609,-0.12797364768044156,46,0.0
9.512135,23,1.103765,8.815468196458465,-0.1048929574494861,23,0.0
5.807726,18,1.108127,5.499407512193969,-0.0915852631372403,18,0.0
4.793826,15,1.111175,4.793826086472031,-0.07334858667364522,15,0.0
-6.507316,12,1.113505,-6.507316207620182,-0.13973198916662377,12,0.0
-13.05961,21,1.118923,-13.621680515240879,-0.26844099448345604,21,0.0
0.035215,23,1.125566,-0.6999638268542145,-0.1810127759538067,23,0.0
-1.596704,17,1.129455,-1.7956960386962109,-0.1419767916253898,17,0.0
18.051002,38,1.142295,16.33339643689782,-0.1644371171825024,38,0.0
0.632781,12,1.144818,0.6327811088229447,-0.08263228503815613,12,0.0
4.059146,18,1.149043,3.7469518276493026,-0.10558110013987647,18,0.0
-4.15463,20,1.154587,-4.620720292274038,-0.18845968445722117,20,0.0
-1.574465,24,1.161331,-2.4042722318034406,-0.2026775152860707,24,0.0
-0.696595,15,1.164564,-0.6965948819368312,-0.11719253208018779,15,0.0
48.250229,73,1.370911,45.85183379804773,-0.20739227126027943,73,0.0
35.457593,48,1.386016,33.353533200816514,-0.10805717371393528,48,0.0
