#{"t_start": 1789349340.6412318, "env_id": "Walker2d-v5"}
r,l,t,task_return
44.498657,24,2.248859,-3.8349849048095366
0.0,14,2.265807,-4.357532706532249
0.0,11,2.280452,-8.523693998654707
0.0,14,2.294526,-3.357127633432764
16.380861,18,2.318248,-17.385684654174067
40.977566,23,2.348659,-0.32513386157884505
0.0,9,2.358225,-4.56825777457409
59.64476,28,2.391302,-6.16918824326813
11.013752,17,2.412366,-14.206100755406931
0.0,13,2.428951,-0.5525304458396284
95.112,39,2.474458,10.5302530877029
0.0,14,2.49152,1.9721304415893626
35.281044,22,2.515448,5.265800076404051
61.688133,30,2.55278,-0.7834064790617213
11.022269,17,2.573476,-1.3649531290813708
86.541374,36,2.623117,-3.7450212506231306
32.07983,21,2.649247,-3.9919984741706505
90.992081,36,2.694721,8.509482547199958
0.0,11,2.709293,-0.8240336247845257
0.0,15,2.725555,-0.4996308510381272
47.051003,25,2.756206,1.8079886391669433
39.230122,23,2.787531,6.1446326259575095
26.166395,20,2.808693,-5.544003638977551
31.297859,22,2.831965,-8.146340514249161
0.0,7,2.841983,-5.153726324996783
0.0,10,2.852673,-0.829799927289729
60.039051,29,2.890826,9.348149397136144
0.0,13,2.901455,-0.537565339127424
5.899713,16,2.917352,2.6947950392466233
20.94746,19,2.937469,4.416312529542168
0.0,12,2.952286,-1.9341672875083558
57.941837,28,2.980827,4.590486936958913
0.0,9,2.989021,-4.493479214061837
46.674385,25,3.01685,-4.449519998229015
0.0,13,3.028913,-1.2156725153001677
16.830244,18,3.050893,-2.275781017777213
11.113345,17,3.068151,-5.854318595350406
0.0,12,3.080711,-0.3221482028002346
29.782295,21,3.100965,-7.145376755939774
35.716854,22,3.125122,-4.474349290709696
0.0,15,3.142289,-1.8695546792521007
50.004658,25,3.170371,-2.1391685501446993
0.0,15,3.186214,-1.5291871649451783
0.0,12,3.200051,-0.6214639743714081
32.371876,22,3.225064,2.747956050482677
0.0,10,3.234702,-2.2386786331211845
11.388968,17,3.254537,0.8298848990846623
60.920998,29,3.287235,-6.724108474298502
16.32568,18,3.307056,3.497680159212565
0.0,15,3.322,-1.5723108565316568
33.227192,22,3.34928,-0.6924190035503205
0.0,15,3.36231,2.061220593980086
0.0,11,3.377665,-7.044717863593751
57.344276,28,3.698367,-3.0522220827933686
55.623295,27,3.733436,-6.264743920907944
0.0,15,3.750589,-2.095523081248335
40.865532,24,3.782615,-1.3499558837206356
82.657547,34,3.827002,12.98178079045738
5.85661,16,3.850096,-1.7487399687852638
15.99797,18,3.878118,-7.698473088397687
41.482342,25,3.908325,9.817595175874855
46.906219,25,3.939091,-2.6081401720408572
0.0,12,3.952011,-9.582215165608574
26.957983,20,3.976645,9.134325785835513
112.626549,50,4.047563,-11.17057717600678
61.524227,28,4.080167,3.221967249018579
34.132568,22,4.105928,0.22403146313010636
0.0,14,4.120467,-0.15066792901842607
43.217384,25,4.152193,6.626411132312792
108.581665,48,4.21341,-0.8631702550880014
0.0,11,4.228562,-2.904199466927774
24.918146,20,4.253482,-6.574162827208842
15.501909,18,4.277925,5.63258632917562
83.708946,35,4.322002,0.24395517304147551
26.536777,20,4.34739,-9.163665640222657
40.221882,23,4.375392,-5.315276505702103
0.0,15,4.391483,0.9716858500876493
28.565575,21,4.424836,-5.157131783676332
11.286469,17,4.445376,0.23076202918680022
5.950381,16,4.46905,2.9450629174699863
40.006195,23,4.50141,0.6309965209664194
0.0,14,4.517859,2.045767807630108
11.260833,17,4.536442,-2.663323206331598
72.030312,31,4.580634,23.890331574412897
20.804626,19,4.603161,-0.341047319817561
0.0,15,4.625537,-1.7310923569682353
0.0,9,4.637757,-0.9850093629924204
0.0,14,4.652918,-4.887830688342572
84.197105,37,4.701601,17.090084524319728
0.0,12,4.714758,-1.99391645029116
0.0,14,4.732088,-5.011224391789636
63.975819,29,4.791411,14.711590572317458
27.564474,22,4.824894,-13.43894054120632
0.0,11,4.836424,-3.7801647052922704
39.774918,23,4.868669,-3.534366386836692
0.0,13,4.886982,-2.411367081289771
0.0,15,4.908264,-0.3447002923246346
20.661501,19,4.930415,-6.686091619200948
50.154907,26,4.963623,-5.1025758865767745
48.527946,25,4.996915,1.1610923244109355
66.101318,29,5.037492,-4.038236038521722
115.943497,54,5.407317,37.065963034991825
50.647884,26,5.453382,-3.5044224689649948
0.0,14,5.471618,0.3126213794235553
0.0,15,5.492882,4.141062217908079
51.956955,25,5.527894,-3.339666133242641
30.638395,21,5.55939,-2.0763690595997857
70.956223,32,5.607582,1.1743798765051274
57.660206,27,5.641027,-2.560970431714067
52.202854,26,5.673942,1.7909526422819155
47.555656,25,5.710176,-0.733270619137038
15.829317,18,5.740562,-4.214963899309665
92.944664,39,5.801086,17.289395916759222
0.0,11,5.818614,-3.905552978346829
20.799505,19,5.847478,-7.105746477636918
