#{"t_start": 1789349340.639675, "env_id": "Walker2d-v5"}
r,l,t,task_return
55.176186,27,2.254106,-4.845955571469651
65.914818,29,2.289908,2.440604552405417
30.550865,21,2.31307,-4.244942922170772
29.26792,21,2.341379,-4.363694166982554
40.725315,23,2.369254,-0.2689670824579069
43.195965,24,2.398169,-3.219039984505903
25.23155,20,2.423315,-4.370630747386088
0.0,14,2.438378,-1.7957680644466751
10.723261,17,2.458892,-3.3351457708765118
31.581169,21,2.485035,2.4982076604223806
76.286278,32,2.520365,1.9146723301702424
102.928841,41,2.571083,10.220798535603342
5.830834,16,2.591718,4.503066058527195
41.90493,24,2.626215,-0.15985963903039857
35.012714,22,2.65354,-1.226970814201088
0.0,15,2.670943,-5.274768871998136
21.086954,19,2.695828,0.7775573136235391
99.453789,42,2.746988,16.82158272070749
0.0,13,2.76291,-5.136334887911786
0.0,13,2.780553,-4.073176685587555
73.504341,31,2.815612,-1.4610816927462722
0.0,8,2.821881,-4.015705639854315
0.0,10,2.835185,-2.7842661840053453
0.0,11,2.849297,-1.176376530571151
0.0,14,2.863831,-6.286602611406849
0.0,12,2.881826,-7.645548396076881
0.0,15,2.898488,5.471327470827737
5.941212,16,2.913183,-0.6015101734884691
75.137802,32,2.948077,-6.084068154255906
0.0,13,2.960111,-4.020999078352033
0.0,12,2.972674,-2.870878201966776
0.0,11,2.985298,-3.67492417180073
44.480862,24,3.010248,-3.3926445996295653
6.037414,16,3.027216,-8.735185569393657
30.497145,21,3.0508,2.7039262481240627
31.329615,21,3.073829,1.9588313804855189
11.39935,17,3.089109,1.6389084345505116
104.084045,45,3.138811,20.383395928596773
75.005432,33,3.175526,3.7814120243973983
63.861259,30,3.208737,-5.479166026070226
0.0,14,3.223388,0.3197585536598553
36.774769,22,3.249053,-3.9210962722614426
101.750793,44,3.298104,-2.015375089808604
0.0,13,3.311618,-2.820003738594314
58.791512,27,3.341128,3.8317207855840594
0.0,10,3.353182,-4.178616977398112
0.0,14,3.366534,-3.919786873758245
