#{"t_start": 1789349364.527362, "env_id": "Walker2d-v5"}
r,l,t,task_return
5.952722,16,0.638352,-2.8445211814453755
5.862011,16,0.67286,-0.6485878450532804
65.198013,29,0.733858,-0.9899021363810576
38.993992,23,0.791123,-0.9975288382068147
60.102455,28,0.847365,-1.9450697375723556
0.0,15,0.874875,1.0874377426978896
99.522789,42,0.970642,-3.482159113279952
63.951824,32,1.038458,0.4444964222050387
38.614655,23,1.083178,2.2370380678459765
105.900215,43,1.170169,4.721097322337923
0.0,11,1.193089,-4.00337422963505
5.893764,16,1.229072,1.1600101563950456
15.772367,18,1.2611,3.054735576079765
10.834057,17,1.292801,-10.695296418200245
38.372581,23,1.339398,-11.063099090304586
0.0,14,1.365048,2.233483757774527
5.872744,16,1.394223,3.381109836108152
0.0,13,1.417414,-3.0766806395319066
0.0,14,1.442478,-5.154246817210091
16.244474,18,1.477056,-0.8714600591426194
38.844437,23,1.522805,1.2575544531823846
59.534512,28,1.586044,-0.1864163050610268
42.741947,24,1.645104,0.7493083621242056
30.098494,21,1.68226,2.2685236214766302
0.0,9,1.695289,-5.7213743085831315
26.179031,20,1.736077,-8.661254165047984
5.981413,16,1.769427,-7.302130192541297
0.0,10,1.789707,-5.925628921208359
5.966717,16,1.818971,-7.787270055261363
0.0,14,1.84589,1.13559688717653
0.0,7,1.862287,-4.388732665362667
48.616776,25,1.926609,0.2368491409965905
49.182327,25,1.984092,-2.4593666990259777
0.0,12,2.015724,-1.0638282825625889
34.864979,22,2.065012,-6.179055660599285
42.484615,25,2.127562,-0.8110663701378137
0.0,12,2.157229,-1.2235933740726306
0.0,9,2.177235,-3.3158976819999046
0.0,13,2.216213,-1.4222546923155392
0.0,13,2.247671,-3.6974851184907553
0.0,9,2.264215,-2.6869948453557306
54.119667,27,2.3301,-2.3549402754549646
0.0,10,2.354578,-6.816093425658441
30.143072,21,2.407107,-0.28349107354313063
63.837746,28,2.467636,-2.6124696631922673
0.0,15,2.499406,-2.171411695787229
21.022442,19,2.540189,-1.6146579897758284
10.820621,17,2.57459,-5.64148293202489
0.0,15,2.606023,-3.5896527216155847
28.528248,21,2.653397,-6.71815181374051
0.0,15,2.68671,4.218504578328204
5.91325,16,2.717244,0.1925695821268555
0.0,11,2.741719,-0.5409344168987136
48.889202,26,2.797892,-7.9062651342699946
15.910017,18,3.352207,4.396308970446232
89.864609,39,3.453163,-6.8049251645923015
21.51174,19,3.497768,6.575637554824469
55.176857,27,3.555153,1.5693127030261471
0.0,15,3.585637,1.2919410254997425
5.854965,16,3.621621,-0.009618596924726885
35.155361,22,3.671065,3.71510462519086
0.0,11,3.69649,-0.9557945907241767
104.460503,42,3.789689,11.76379777022605
0.0,12,3.820955,-3.6402623343008966
5.85781,16,3.856876,-3.642405638727231
54.585499,27,3.919121,-2.042270358916086
0.0,10,3.936526,-8.417609969496336
0.0,9,3.96162,-2.4838782163021236
91.431526,38,4.050127,15.401516378641444
45.106712,25,4.101592,2.4787131648117087
0.0,11,4.123773,-3.679721735103442
0.0,15,4.155688,-2.208154411465996
26.690464,20,4.202742,-6.670037712699303
0.0,13,4.236523,-4.195980041334866
54.498291,27,4.302828,4.554909560149479
10.73653,17,4.34209,-2.606264930509789
0.0,12,4.372314,-2.795976634138218
73.135033,32,4.446519,-0.5750977286260448
29.839962,21,4.496236,-10.335006775078979
21.659908,19,4.537131,1.306020250814012
0.0,13,4.559594,2.001739905273449
11.199572,17,4.59584,4.2889956679156995
5.85963,16,4.627838,-9.723684015888335
0.0,14,4.660477,2.5075346704868475
5.981498,16,4.705288,3.5251443405570013
21.937298,19,4.742673,-8.514817855791382
53.871548,26,4.790047,-3.8556592349134995
49.72245,26,4.852625,2.956996332751657
10.909763,17,4.893028,-4.909813044472958
75.545349,32,4.970947,7.26074306131309
42.640625,23,5.02588,-4.635034589438417
0.0,13,5.051747,-1.6677626208884222
11.163043,17,5.094849,3.9508704561686847
116.518448,50,5.210029,2.9814475832173986
0.0,11,5.233935,-5.822375936384436
16.105104,18,5.266396,-10.951715054384305
0.0,15,5.300003,-0.9274362474847677
35.800556,22,5.34418,3.778914304961605
0.0,14,5.388596,-0.3482796249209573
0.0,10,5.408345,-4.589217935496617
81.911301,37,5.512933,-5.59745665095124
25.021084,20,5.573757,-4.307856679281388
0.0,15,5.606875,2.2081443654491935
87.447044,35,6.291775,6.147258370980915
16.526525,18,6.342509,2.864330840988431
94.309319,44,6.49164,2.7430997823697334
47.522049,25,6.562796,4.869521688482665
79.560677,36,6.67108,3.2905499201765744
16.790514,18,6.730036,2.150333283294419
0.0,10,6.750419,-2.9342166672778145
134.223297,70,7.177433,2.367979907468211
0.0,11,7.220934,-1.640071813876013
20.591356,19,7.299106,-4.076359174623152
56.386684,27,7.398326,1.5717993326165098
67.195869,31,7.584544,-8.39433878778304
44.579784,24,7.915272,8.597554377736117
10.729713,17,8.245366,-8.286561637935895
110.741638,46,8.836453,3.40148577606932
66.029129,29,9.329198,2.6261232947892106
20.39665,19,9.561697,-1.398497763901319
25.043381,20,9.693519,0.5637775243876172
28.629887,21,9.801475,9.398610651208541
66.810066,29,9.93826,19.245032027046587
127.685432,58,10.255083,21.370393676107753
41.184174,24,10.382991,10.57278139532665
0.0,12,10.425844,-1.8965314952495629
35.173569,22,10.512848,-12.501577260574724
45.318935,26,10.660612,9.018027847015553
30.24453,21,10.774132,5.653275472367298
26.271978,20,10.864859,-3.8374302379630993
31.090328,21,10.940089,1.9135750036032713
48.205742,26,11.050136,1.604115824653936
5.81956,16,11.109444,-4.390558514437002
0.0,15,11.165873,-0.6924915990137468
0.0,13,11.216647,2.383303522432261
125.108398,59,11.580501,9.156791673040335
5.906021,16,11.700687,-1.0330219581998792
53.45668,27,11.842235,-2.0279085561111225
0.0,11,11.883454,-6.822704747272127
61.602139,28,12.036745,16.696373405255564
78.333214,34,12.235369,9.976975089149308
21.613478,19,12.312787,1.0303329712362945
26.694326,21,12.38987,-1.2424541197256427
128.394623,62,14.11522,-4.640864168683299
33.757759,22,14.207954,2.3425513362739943
97.894287,40,14.477636,9.831142085487597
54.757301,28,14.574035,-5.118118524230799
87.483879,39,14.725335,0.5591680710732878
62.710247,29,14.886434,6.0996070798138975
112.810104,46,15.091099,1.805302553309921
43.542961,24,15.189577,-11.726820312740736
136.677414,66,15.470745,11.411123791192448
103.891136,56,15.714674,35.31428436720152
125.135872,49,15.902135,3.864907545785774
67.000023,32,16.0029,13.120012262462204
87.482361,37,16.133801,-5.253694815708123
35.973518,22,16.216997,-2.5817932544077884
61.738415,28,16.317462,2.3025311159242863
0.0,10,16.354391,-4.161691683481465
77.248703,35,16.455787,16.086074811307885
5.95077,16,16.498147,-4.6351143952574985
104.792809,47,16.653798,7.853680028394512
15.910644,18,16.698182,-1.6104343196740785
85.635513,34,16.814468,5.091682772919887
66.363907,30,16.91033,5.948901344545692
107.013794,42,17.048625,21.781647609024166
130.217896,77,17.300888,25.155854921536807
99.057343,42,17.44947,13.470445622870065
44.263702,25,17.530987,-4.889483591386393
67.094414,29,17.636853,1.5233866256411286
89.918022,39,17.825527,-3.6098143552686546
92.925949,35,19.14368,1.5548405921244575
41.977356,24,19.273007,1.0535086964747897
128.968384,54,19.579289,-9.650929482844736
0.0,13,19.643171,-1.0553988456425167
53.364624,27,19.798435,3.42889575294567
102.514244,42,20.037066,16.007229864115512
39.259548,24,20.165116,1.4184050078086416
90.063667,36,20.360976,-2.3585448674111875
134.815338,70,20.7623,7.514886784504123
6.030637,16,20.855188,2.344325491299916
84.953552,38,21.140654,10.771991372531284
94.689896,41,21.34376,8.640723921813777
115.666084,47,21.646244,14.081661636995355
93.054955,39,21.832485,6.705662867007023
73.265625,31,22.031087,-9.711678091629878
27.112988,20,22.149751,3.401955815541086
120.670486,59,22.419773,11.761788836706861
96.305687,38,22.60595,9.741751786382933
74.201485,31,22.756218,13.754243989026783
105.991188,47,22.964177,15.217852463330937
137.131271,76,23.332949,55.38939983451808
124.413055,57,23.632962,1.0750845506756157
121.132805,62,23.89188,29.474307103870995
135.296356,74,24.229061,-17.63488760299956
79.643082,35,24.405976,11.014525819637223
76.630089,31,25.27358,-0.8366682292387382
119.20076,60,25.493729,30.937788452989718
105.87458,44,25.65028,21.407461815384284
114.709045,48,25.842659,-3.0317618010170806
94.086472,46,26.023081,5.012931417977277
110.681053,47,26.190013,17.008987862112917
85.881454,35,26.331663,-0.694588322412373
92.841164,38,26.478907,9.240856793708513
122.884331,50,26.687785,24.90909250786084
19.633045,19,26.753463,-7.13768709169271
121.694923,55,26.955195,22.828100040728923
90.247879,39,27.097263,4.635094826570764
11.302594,17,27.148198,2.498566434983445
121.07,58,27.344953,-6.825220421729407
106.238914,51,27.498679,22.557242511966127
58.468929,27,27.565507,-12.528546143339293
95.626457,43,27.672196,1.2862566256350347
144.069321,114,27.949696,4.1475274491172645
72.695663,32,28.02147,-2.4732276375556603
16.433973,18,28.058909,2.1658161649652823
67.264481,30,28.12147,4.847097034288467
87.313179,35,28.199007,10.417797732076904
115.462318,61,28.319753,21.61891874915631
144.736877,110,28.836587,9.488197920957164
130.308273,68,28.971139,21.527081245574834
142.476913,96,29.16194,14.337772341097947
66.053612,30,29.216572,4.557406846929929
133.475464,76,29.357047,-6.502967622073288
79.713737,36,29.422112,1.6956425406006945
