#{"t_start": 1789349364.522889, "env_id": "Walker2d-v5"}
r,l,t,task_return
0.0,15,0.640403,1.2643255676892091
38.66415,23,0.690194,-5.3650971903925395
11.063929,17,0.723005,-4.770168692093551
0.0,9,0.743659,-5.339934048296412
0.0,13,0.77386,-2.127023309533457
5.941829,16,0.813598,-5.227450315730708
0.0,13,0.837913,-3.1130988069220487
0.0,14,0.869635,-5.418072446425418
30.049679,21,0.911474,-7.601567929813782
0.0,14,0.941204,0.23203280807166654
0.0,14,0.974193,-1.6356915548826456
0.0,12,0.997807,-0.9886566307603936
34.376686,22,1.046747,5.004777167025142
0.0,14,1.071135,-5.826110399273761
26.615763,20,1.110153,-6.6315146849019335
6.048938,16,1.143293,-9.296098631845892
0.0,11,1.166565,-2.4594425581295756
85.329018,34,1.242402,5.944879512440692
0.0,10,1.256989,-6.504907621040864
0.0,12,1.282862,-0.7268980249473992
0.0,7,1.292273,-5.819013882321501
0.0,10,1.310434,-3.739990677959553
0.0,12,1.336038,-4.474678784389518
21.554396,19,1.375905,-1.5042079112708862
0.0,11,1.394525,-2.6279348456106932
0.0,14,1.416531,-2.6588270288704994
0.0,13,1.442632,0.6944869915112217
11.028227,17,1.471879,0.7122349841137701
15.889638,18,1.509173,-3.739474044219696
71.914001,30,1.568473,1.527674319133847
29.623119,21,1.624882,-5.8198179401133885
42.55909,24,1.673381,4.291174467251538
36.981762,23,1.712425,4.203780379396642
45.363964,24,1.760675,8.90873624775232
15.379958,18,1.800169,0.33109683048124805
0.0,15,1.826551,4.259843829365821
30.846817,21,1.871409,2.6785539751965697
34.476013,22,1.927182,2.05758811900715
0.0,12,1.956652,-5.365083367421645
64.171417,29,2.026573,-0.8340089337076786
0.0,15,2.059714,2.7999790714724306
58.847233,27,2.12646,-3.7075484477692466
5.998722,16,2.166108,-4.677433766002317
43.629017,24,2.231173,6.9942095862178055
0.0,10,2.254015,-0.1505142993863331
91.039757,37,2.3395,7.990398396077047
0.0,11,2.366081,-2.028223038724299
22.095005,19,2.413369,2.2545648834381913
0.0,12,2.438107,-5.849263357171623
0.0,13,2.465939,-2.0079523373136823
0.0,14,2.497383,-1.2152515213563908
41.147163,23,2.547589,-6.712591155955575
0.0,12,2.570846,-3.0031065333292695
0.0,12,2.597339,-0.6807748808994114
0.0,8,2.612136,-6.568202437858056
70.277542,31,2.683328,-2.3254134715548713
0.0,14,2.709059,0.46489088879702223
0.0,12,2.734432,-0.5863341826994215
25.647318,20,2.777835,-1.0168532210681642
0.0,15,3.327287,-2.2595367255317664
65.101715,30,3.396001,7.2179513477463715
44.477684,25,3.462659,8.789241313857476
57.361359,28,3.523507,5.612495151803412
26.881243,20,3.569133,7.172684165838951
24.000546,20,3.613786,-8.586882791787234
14.822107,18,3.647525,-5.8358074262806445
29.721733,21,3.69755,-8.230404953671796
14.828581,18,3.742693,-0.1711056720962495
0.0,11,3.761834,-1.8213470646551841
16.039,18,3.80477,1.2324987799548195
68.328857,30,3.876134,16.06077740801897
16.365492,18,3.916609,-6.50157382779179
0.0,15,3.945925,1.959466061159854
0.0,11,3.97499,-2.186526565595796
36.938046,22,4.023226,0.7286814944288129
69.056908,30,4.093885,8.669655621010593
16.75345,18,4.12752,2.8070585963029933
107.331108,44,4.231356,15.631691317515731
121.837959,52,4.357989,17.706682906900536
30.355618,21,4.400772,7.487830394722147
81.763504,35,4.488673,7.049891053413062
44.178215,24,4.540939,6.58677046453111
0.0,11,4.559866,-2.3361906942479678
0.0,8,4.575117,-4.878894042162392
25.512894,20,4.617336,0.6224651036727473
0.0,14,4.648207,-4.216617964972439
30.063372,21,4.703544,1.4447435974905123
40.396557,23,4.749972,-7.500303783293179
26.13965,20,4.783808,-7.342219827934143
67.667686,31,4.859065,0.3976214836441334
34.474327,22,4.914149,-4.785330311612357
39.418358,23,4.966936,-6.514397930874007
45.981552,25,5.027474,2.161568252102304
44.837147,24,5.081044,-8.87261380183797
5.873465,16,5.116154,1.2157494590739888
15.60302,18,5.152595,-4.739812592566959
27.055119,20,5.206142,6.29961542710868
35.756721,22,5.252438,-0.7558583421959191
70.473274,31,5.319045,-2.1483985916822217
24.953758,20,5.361615,-5.369751686207731
16.447208,18,5.409189,6.687731125753431
16.147566,18,5.456503,-9.08947836332074
63.856815,29,5.543265,-1.2357978397351466
11.304187,17,5.590305,3.824306526765356
21.165964,19,5.630903,-0.09993254502510085
35.985889,22,5.697719,0.12369401174188277
60.17374,29,6.368039,4.285834078475511
99.843727,43,6.515006,7.988341265636077
11.301491,17,6.559389,2.885174541796888
69.04528,30,6.649622,1.0670665266707615
67.169777,30,6.743083,1.1435555497457988
44.62986,24,6.840381,-2.7359365920339815
75.867165,33,7.116706,8.606856673118024
97.898872,41,7.278629,-4.908625685763021
57.57798,26,7.369948,9.525174000456005
39.725048,23,7.475252,-1.6379760665509795
130.387787,58,8.242663,12.911759970997995
89.010048,36,8.758883,-8.385979122397163
0.0,15,8.887457,-10.604795922177077
20.91082,19,9.247138,-6.830370052568618
43.032806,24,9.562154,2.8788318455764963
88.38343,38,9.792858,11.594276893273765
0.0,14,9.849255,-1.98868312900081
47.179646,26,9.980464,-5.195676031198022
41.566463,24,10.134164,-1.8238149134564772
127.035782,56,10.409744,-5.225822716673257
20.913523,19,10.47549,5.875187811348365
0.0,8,10.51247,-2.195220583873486
78.86161,35,10.719606,2.18173143624937
0.0,11,10.76604,-5.048016628839407
39.946133,23,10.872574,10.133893190566038
95.019417,41,11.035486,-0.9233077423226241
26.226265,20,11.109,-9.48869230389241
87.760269,36,11.248911,-6.372179983421524
50.961113,25,11.351086,-2.138162943377041
103.640144,40,11.685184,10.468875040457094
107.32711,46,11.909262,1.9893365001562124
64.904373,29,12.075567,-3.559128915264205
89.314583,36,12.269799,5.25649081105739
5.960719,16,12.336122,-1.6396721077436638
16.320814,18,12.400868,2.501193742666041
128.992752,65,14.138395,-5.512914589711796
59.847706,29,14.288214,5.01883329388088
20.487389,19,14.449447,0.7305850863368151
123.676651,57,14.653714,0.578878274573706
55.380505,26,14.750784,2.0618287704696594
120.86232,51,15.014771,7.780154774834383
57.606941,27,15.137069,7.068208261921266
140.89061,86,15.500342,44.09482602116326
82.062027,34,15.649261,6.781534637969834
61.4687,29,15.76767,0.5749642247951561
90.702911,42,15.925559,1.877016293253033
54.561619,27,16.010568,6.75512966955199
106.22821,48,16.184959,25.274582118213704
42.636974,24,16.273795,7.780376530475206
19.949795,19,16.338672,-1.913241962079462
0.0,13,16.379932,-0.0685860877486566
89.809807,36,16.482576,14.249871359060668
120.959663,60,16.673745,17.51398177139604
105.461632,41,16.801168,0.7325010027552961
62.233349,28,16.89614,-10.220634719568306
68.860435,30,16.98898,5.031374271470748
42.596054,23,17.064484,-0.28065515005732444
63.057415,29,17.156466,0.04502557222332482
46.71862,25,17.240201,-0.14239447448545184
133.255981,70,17.477398,-5.360024186117224
129.790161,73,17.755074,24.79639763362428
33.392063,22,17.892795,-8.77122504251514
125.292107,60,19.3345,-16.141539147452235
83.551102,36,19.541575,7.957213902429311
100.332489,40,19.764084,0.11719602236174831
60.050465,28,19.909415,4.9281663627063095
26.757198,20,20.039361,3.911047439131579
142.521439,87,20.526919,-3.9884448885092776
88.39109,41,20.755858,10.323389880196576
122.234077,57,21.150234,23.235008364192716
131.707581,77,21.581898,-12.577575658848573
143.475967,84,22.074371,35.33788101867176
92.770721,38,22.248167,9.280677551950076
116.619034,55,22.519824,4.372440414256012
120.330818,51,22.759288,9.149566760969913
