#{"t_start": 1789349364.537376, "env_id": "Walker2d-v5"}
r,l,t,task_return
0.0,13,0.623722,-0.36992404694526215
54.455261,27,0.681034,-0.49424179219326225
16.790218,18,0.716006,0.8102924283839537
53.473705,26,0.782429,5.616697392405953
5.799478,16,0.81295,-3.1084873040631438
5.845059,16,0.848651,-3.0218694281331677
68.689224,31,0.911442,1.1258463615022063
23.360714,20,0.956219,4.321869083966042
50.527763,25,1.00848,3.463545779456213
5.91539,16,1.042236,-0.16365616512944303
0.0,15,1.071844,0.2643205314349515
20.99164,19,1.107334,-5.134672984931132
29.567829,21,1.151497,1.1189913151150805
29.433113,21,1.197446,1.863722455086133
0.0,10,1.220057,-2.3036563276404602
45.569599,24,1.265978,-2.0813144734155764
39.513023,23,1.304864,-7.336779569830979
53.777847,27,1.363236,0.046419332534951785
5.759122,16,1.387325,-7.23315528583653
25.00034,20,1.425909,-2.7960174265709883
5.931587,16,1.452612,-0.09979501918356992
46.037445,24,1.502008,1.5271041733415962
0.0,11,1.521951,-1.8326297342685447
115.238434,51,1.642673,7.889614683437653
16.578074,18,1.675128,3.4971195982634797
0.0,10,1.689209,-1.2167925001389017
86.775833,36,1.765503,4.263473660817195
0.0,10,1.784582,-2.9843907976686737
26.029821,20,1.821965,-8.313776970303524
25.232552,20,1.867131,4.957700809329486
15.709592,18,1.911335,0.2923892607955342
0.0,8,1.932389,-6.584338019042839
0.0,12,1.958274,-4.223772822212219
0.0,13,1.990776,1.049046178235288
44.280281,24,2.047196,-5.580411363342798
0.0,12,2.077282,-2.0849484654693
21.460793,19,2.124605,1.7146198760134952
0.0,9,2.146179,-4.34708516537318
55.346035,27,2.218299,0.4213231268195823
0.0,11,2.242321,-2.179296775177372
0.0,12,2.264234,-9.250420727873065
11.193321,17,2.305708,-0.6732959462939692
83.621323,33,2.389967,16.046264574973645
40.393784,24,2.443431,11.176467016530456
50.768932,25,2.496865,4.271346037133412
21.57852,19,2.538868,8.841437695698225
19.829197,19,2.577311,-8.501927430215826
0.0,14,2.603782,0.7377948685203264
0.0,11,2.625857,-6.6812641052976804
0.0,13,2.662537,-4.200034631205227
21.645065,19,2.698931,-3.299557743298872
46.668926,25,2.753291,-3.8595574584258205
0.0,12,2.77724,-4.000802223175431
124.406296,62,3.444336,28.050771273455126
16.527868,18,3.486295,-10.902377577330473
78.83709,33,3.558397,-0.030836291706618058
47.454315,25,3.610374,-11.237411623703405
48.735691,25,3.667271,-1.3674822463692144
10.88105,17,3.708224,-4.823808562732174
35.591599,22,3.753235,-5.6520316539661595
21.588047,19,3.800826,3.1854735008800037
101.172157,41,3.892902,2.4553298950407756
35.288628,22,3.942361,-0.28739442506574386
0.0,13,3.969114,-1.6736386173805275
10.815589,17,4.010778,-13.391239759394969
32.002014,21,4.062487,-2.629330319381676
10.888338,17,4.094575,0.4992478416610414
25.980728,20,4.136933,0.2841591386650195
94.508713,39,4.230429,1.4641928682754755
0.0,11,4.25171,-2.040593933555052
0.0,14,4.290952,-3.9037421088279056
62.683884,29,4.360924,-12.79561135774099
84.038765,36,4.447768,9.917034028591504
0.0,12,4.473005,0.27362824792299945
0.0,10,4.496531,-5.081720575883377
5.98693,16,4.529848,-6.936172426344435
5.947812,16,4.557724,-3.1289030895634893
129.121979,67,4.714645,36.853550178577144
5.882796,16,4.741894,-1.234703882665487
0.0,15,4.765608,-1.3537647050991815
75.460197,32,4.843717,1.7822268865983448
50.466251,25,4.907429,-9.302792669453305
111.423538,49,5.020072,0.8636924982899035
57.154907,27,5.083134,9.803707464745727
11.006683,17,5.114824,-12.80365382392996
0.0,14,5.146838,-2.6915842158348937
37.014038,23,5.208563,-7.179258509823203
0.0,13,5.233175,-2.197785138133625
39.062748,23,5.280618,-1.28955551670819
0.0,15,5.313394,-6.809151401060931
55.599838,27,5.383028,-5.1890222423863275
10.963861,17,5.420772,-0.3772541024095386
0.0,15,5.465167,-1.9395640160650578
6.010406,16,5.511132,-2.382931988295098
0.0,8,5.537474,-3.308281541615256
0.0,9,5.562114,-3.581694382062511
5.99281,16,5.598481,-1.7560182217827214
71.204765,30,5.682187,3.208525133430423
25.891506,20,6.324118,5.694143221676762
75.460999,32,6.427305,-4.75482101560641
66.975922,32,6.531403,1.2161448219121849
48.029137,25,6.605703,-4.266923005546683
81.567085,36,6.7182,8.94200801734993
59.320602,28,6.820333,-5.201845082095778
101.102684,40,7.123811,13.18805423986602
11.295906,17,7.184537,-3.920009896183346
95.621277,38,7.334281,10.588880288448518
15.973897,18,7.408397,-7.447697234045539
0.0,12,7.466792,-6.135579096746673
79.951767,35,7.861756,-6.19236353673935
52.159306,26,8.409822,-4.327089891531757
94.22731,36,8.782928,0.713052954651161
76.133667,36,9.353255,2.130930118824064
20.569944,19,9.57291,-6.784383531416112
20.896425,19,9.685017,-1.2228746868225286
40.286083,24,9.806493,-0.08062099088675934
131.30043,67,10.16318,-21.544471677921646
0.0,13,10.22771,1.703806128747843
85.758713,34,10.397933,6.731916335933209
30.568275,21,10.472521,-1.033130118092457
104.333054,40,10.703026,-1.1700823527442452
0.0,11,10.750031,-2.3380115837651148
0.0,13,10.814834,-4.703883252101384
65.704407,29,10.92136,9.376723398509519
103.465691,42,11.092181,0.0025650187625643195
6.063546,16,11.153337,1.0796022822228484
46.095196,25,11.256129,2.214834035807364
0.0,11,11.294375,-3.4897855933568587
53.657463,26,11.470544,-6.996419697653246
24.688833,20,11.640986,-5.087362806912635
41.855255,25,11.789968,2.4014398974752855
0.0,15,11.853239,1.42309216765865
48.761189,25,11.975299,7.321315376619667
0.0,15,12.068975,0.8627270729274231
64.497673,32,12.246731,4.266321819669578
117.2556,50,12.474958,1.7671492977822758
10.805397,17,13.943357,-7.240435753559216
106.444237,43,14.165945,15.026172587741122
85.116798,36,14.419002,3.922646929348984
52.264416,26,14.514643,-2.8299139205706947
112.078438,52,14.70993,4.284913952840466
47.552593,26,14.82877,-3.754016462071251
35.586288,22,14.959514,0.21386958481795348
105.5597,42,15.137114,8.435190273925036
94.348457,37,15.2792,2.9633169313044267
78.927269,33,15.429983,3.6040880738198235
28.748438,21,15.522997,-8.461318441168496
102.004501,45,15.720213,13.070321032924847
92.523354,40,15.874399,0.08801122406123962
37.791203,23,15.948955,-4.191596076569318
6.042176,16,15.99866,-11.0706354570272
0.0,14,16.047897,2.7449907917260683
78.488174,35,16.177163,-2.3547256507810017
110.103447,49,16.352284,19.905341436864543
0.0,15,16.390694,-1.1695153404298235
52.527554,27,16.47072,3.0960160424172587
71.418488,32,16.566077,-3.428790346983846
6.119189,16,16.624583,1.3317659379829405
10.85379,17,16.672156,3.1317748096735762
122.054718,56,16.859443,0.3001472422594471
78.68676,33,16.960482,-3.0036065874553146
82.13031,35,17.078242,5.533709105553976
34.06752,22,17.144552,-2.3575201844744713
90.51532,41,17.283046,18.463577324387334
72.446426,34,17.392491,3.4218508915014545
84.195587,34,17.514823,-0.5023811925817193
44.908592,24,17.600034,-3.465090201908964
0.0,9,17.635896,-3.584755418779217
118.778717,57,19.065472,0.8571546345410859
136.38916,117,19.693077,18.970228226347846
119.512657,53,19.994703,-5.369464968370371
10.807846,17,20.092327,-2.630026834811634
69.505745,31,20.260289,3.3626391364287556
129.096664,70,20.659302,38.62413815001605
10.944983,17,20.758889,-2.4829626378259153
126.092339,74,21.237846,95.43888522271885
100.362846,41,21.474697,2.0343609085718932
10.422851,17,21.571243,-6.16241098467195
70.4226,32,21.741805,7.405341334104886
133.728928,68,22.14185,-4.945413013838274
42.888985,24,22.245098,-4.993078908531768
123.001312,64,22.56041,5.171090119417796
34.941257,22,22.65124,-3.4786771762208515
113.016342,49,22.888485,3.0593672019917513
67.351387,31,23.020006,12.822615542038282
146.833328,123,23.643163,3.6151776717239588
115.777458,50,23.845184,20.17568047109703
109.295868,49,24.084824,-1.1173376693401214
124.38134,57,24.345909,6.446650938809288
89.540688,40,25.261366,8.457766452168046
55.18993,26,25.341644,10.36751368762657
86.779442,35,25.485876,4.575171587940477
147.589493,135,26.001866,246.78615693133833
89.436867,37,26.134997,-5.289388870503161
97.620621,48,26.32338,-1.9899055567930772
147.562363,143,26.876343,65.62879868191777
110.931862,48,27.053,2.734776189739544
124.72097,62,27.253637,-1.051692385123343
137.948624,83,27.514298,10.819707050362032
82.332329,35,27.594795,-2.30718424237666
42.036678,24,27.658374,-8.818583905599986
123.052292,81,27.857232,121.22565872711542
116.415031,49,27.968878,29.09348516607509
57.8717,29,28.036291,1.5854004735091947
128.917053,68,28.18125,12.850422172553435
122.722725,56,28.293001,5.428471938338382
142.361221,99,28.788261,46.93576532122533
149.342728,117,29.024389,25.03774589818949
151.70314,246,29.481268,301.12881909552937
108.992874,53,29.577198,-9.734381952004027
147.922867,119,29.811806,3.4201690458344842
139.493042,78,29.957263,-25.265456622789983
130.409622,73,30.087375,-3.729534030339663
126.136169,65,30.207347,-16.973780931356966
139.896515,96,30.388559,-2.2714810387759865
99.985481,46,30.471969,11.828346396733572
142.856995,107,30.932613,45.66838736169663
97.688599,40,31.006315,-6.4348114698305245
138.023849,99,31.188291,-18.44019593703146
49.109455,25,31.228138,9.422882010080778
135.752335,90,31.384435,-8.754771151265825
105.852852,41,31.456869,21.23434003138453
147.054077,170,31.767734,233.785300108229
126.175873,56,31.864908,25.57256994458158
137.951096,87,32.015036,-24.29003932417998
107.836678,48,32.101812,10.063591089746154
140.143875,95,32.278607,65.49379891623194
98.115379,52,32.371305,9.628429687490499
139.756165,86,32.530423,-13.625459028129086
92.594025,40,32.601055,-2.106193182645496
103.554886,48,32.689459,30.42743956564995
148.07338,116,33.155003,-15.720581402195617
132.565002,82,33.309601,-17.079316042716908
143.704544,143,33.580131,224.0910011471277
142.169174,104,33.784964,-3.8282239253388846
96.483177,40,33.861011,-5.166659715515877
136.185425,74,33.991914,-18.03056101929696
129.617874,70,34.124737,-3.412824046117139
142.47084,111,34.345545,31.978826133928532
145.014557,99,34.549481,15.046557739010264
107.517479,47,34.649324,1.603791651724249
134.434937,78,34.797438,-11.327589246592108
132.284821,71,34.933319,4.7438297182893425
135.691391,89,35.374621,18.495514390584802
137.615768,93,35.557636,-25.389980724256613
143.908783,93,35.740472,-25.22801085060587
145.969711,172,36.082342,124.92693428743547
145.776077,125,36.321815,11.221156148793597
70.462494,32,36.380108,-0.10194277001478758
138.378006,98,36.567046,-33.38137927284489
139.059128,83,36.726466,21.31256591476284
141.709396,117,36.944831,79.61123516270048
141.2155,86,37.10393,31.14870229138284
138.37619,85,37.527935,-35.36883784738481
134.635635,75,37.666386,15.836550323546577
143.108765,136,37.926528,191.86386675467432
129.396957,79,38.085314,-5.9385225278545715
138.106735,92,38.271288,32.50581580713105
140.952438,95,38.459799,-19.318540736866062
141.874207,105,38.673448,-14.129313692518027
145.669388,95,38.864819,42.44390804347902
150.250839,208,39.270421,-7.814457156402024
86.429504,35,39.337059,1.2038391943842282
147.781281,97,39.787596,4.851383593919204
139.92955,117,40.011683,11.13770428999511
117.04686,54,40.11686,20.492615998408084
145.659073,106,40.303281,-16.134258669032715
127.088951,63,40.428048,16.1700345211132
139.066437,84,40.591737,-6.415558933373061
143.214539,117,40.806013,-33.72604450830161
142.351227,92,40.985681,30.13130604610955
140.848877,106,41.185812,6.958742845775424
147.789734,148,41.479194,-8.388990642515175
150.963394,165,42.061163,223.6068609902161
136.239807,86,42.223539,9.260135969633742
134.525909,87,42.396745,2.303586900542178
137.814835,83,42.555085,-15.527219246573852
146.872086,113,42.787053,-20.848264200753526
151.360916,304,43.388208,357.80522179573484
151.104919,217,43.832354,2.114107311434319
137.9879,95,44.317406,-25.702477218801306
135.054718,85,44.490051,5.081669817911554
144.360291,111,44.707425,-20.28180057319713
146.814194,135,44.9903,15.589218725611591
137.750427,117,45.215019,-25.302580191702432
141.072342,95,45.395081,-18.929393117856737
139.096008,113,45.628653,194.14074916843353
135.280457,76,45.778637,12.093036178869976
146.472763,236,46.2394,46.68145695612464
140.624512,123,46.7397,5.748434457714038
136.822906,100,46.933101,-42.05622922484994
149.254913,196,47.313242,54.971240746381895
143.928284,119,47.546132,-10.025486906536633
146.528366,118,47.772759,-9.381613172914609
148.028702,200,48.160463,284.1623705458664
149.245834,193,48.535265,-1.7869772383699507
142.213211,92,48.971656,-23.89339546722952
141.792175,105,49.171705,66.42195579336455
143.162842,139,49.444856,-7.17672957210296
142.002365,140,49.71414,30.796016000578284
146.567032,161,50.023145,18.76916388085493
142.568268,119,50.254399,31.37479710410941
148.509262,148,50.537495,-4.537027096053793
151.789017,219,51.217005,349.8065415693129
151.818161,221,51.641802,242.04502728804516
142.804337,125,51.884801,58.3375469479086
145.741745,189,52.25045,63.27332389350286
147.611694,142,52.535087,-24.415179519105152
141.616714,112,52.753529,-36.3128037796933
144.988281,134,53.022313,28.417543168598783
142.162811,142,53.584225,12.75563249331524
147.981644,167,53.924269,39.67208355111281
146.694611,193,54.309568,20.00162481967252
136.368011,70,54.441952,52.55732638926976
135.436127,111,54.665068,172.72892950197013
143.576721,108,54.874329,-29.774985490012728
76.332123,32,54.932516,9.9600386868102
138.116623,100,55.130146,2.742636910407248
145.311462,98,55.321944,34.01597118519641
141.141312,137,55.867352,-8.712844392627941
140.337357,127,56.123693,-45.67177775645898
147.852707,143,56.416003,37.033347739355
148.189774,166,56.7509,40.7298841044587
142.030106,147,57.04498,4.016915913643992
147.395905,194,57.430954,-2.2888907285287523
