#{"t_start": 1789349364.532054, "env_id": "Walker2d-v5"}
r,l,t,task_return
0.0,13,0.628528,-0.02538651118634294
0.0,12,0.653631,1.065744583425267
38.509415,23,0.70158,-6.382429884563823
26.690975,20,0.74438,3.7098792513151597
0.0,12,0.775729,-0.7703688172087813
0.0,15,0.808939,-4.86450700355036
35.540348,22,0.855725,7.291398991681254
22.083639,19,0.890701,6.760338679536007
0.0,14,0.922258,2.5791764390895855
16.842684,18,0.964148,-5.329070280123534
0.0,13,0.989569,3.615646498746374
26.09388,20,1.034483,-4.656322761506059
25.113237,20,1.072438,-7.721861753240934
0.0,9,1.088088,-5.151824580182067
0.0,14,1.116704,-10.161102889615432
0.0,10,1.137067,-2.673752732299001
61.972843,28,1.197813,-3.931881092873259
0.0,14,1.229805,-3.196367313121659
26.934288,20,1.267011,-0.9063478841160816
57.814793,28,1.315913,-0.030868046458780274
0.0,15,1.345456,0.7288194080858895
0.0,14,1.377798,-2.8661737743868736
63.460548,28,1.424961,-0.9504967180282484
44.414459,24,1.468582,0.10837527371944011
0.0,13,1.493656,-7.539663540939149
0.0,15,1.523998,1.7312125742120303
31.248764,21,1.56986,1.7270259020157313
20.278255,19,1.619476,0.7670215174509822
0.0,12,1.645877,-2.6847058671176005
0.0,13,1.668098,-8.064685067985783
16.120163,18,1.698077,-5.3424883801983
0.0,11,1.720167,-0.2780100172871246
85.447556,39,1.800823,-5.580473952079642
0.0,14,1.826496,-1.4310618556955779
84.511147,35,1.907049,-7.673216109602341
0.0,13,1.94221,-2.80759563329607
16.20867,18,1.982784,0.6858664933004893
6.047803,16,2.022508,4.466159849137627
54.953014,28,2.090191,-3.172645463291358
0.0,11,2.115614,-4.322411446647237
0.0,13,2.148478,-0.6550436524532641
16.485981,18,2.190985,-2.5662258483584695
0.0,15,2.234473,-1.237940839122981
31.841764,21,2.276869,5.115342065299645
53.300201,26,2.34401,-2.979175526756573
0.0,12,2.374509,-3.793740103587271
36.125469,22,2.42483,-9.653491885547565
11.081037,17,2.461407,-10.761075963621773
0.0,10,2.481661,-0.792021441941573
0.0,13,2.50875,0.021316182325611388
0.0,12,2.536274,-4.07022136844885
48.731815,25,2.589689,-12.439460861506436
72.98381,31,2.658075,7.904551257281753
0.0,14,2.686055,2.875569639143736
87.02681,36,2.762265,3.7988987007434623
63.832371,29,3.34046,-1.68207842373232
6.061867,16,3.37756,5.046057177283281
14.445756,18,3.426888,-1.255867012700218
0.0,14,3.461307,-3.6717739485890473
0.0,13,3.490548,-0.22609297417439966
10.598549,17,3.524444,-6.307204781454268
0.0,10,3.54805,-4.242326727593868
24.500526,20,3.592403,-2.316411180525555
0.0,15,3.621929,1.6986180768274726
0.0,14,3.654819,-3.9637554536654878
65.017563,33,3.734884,8.706855225060433
94.975281,40,3.823447,-1.4216269905003078
21.99308,19,3.867867,-11.015313207827383
103.016525,42,3.962951,-1.6014670405461993
10.447706,17,3.993133,-4.984759515116339
16.373941,18,4.043158,-4.622688976996722
10.981702,17,4.081241,-3.5807288949576996
93.938034,40,4.162871,20.829826448678144
21.232113,19,4.210459,6.891688201790585
10.925145,17,4.250119,0.2087810097919639
14.711371,18,4.295524,0.03721003450594362
33.544796,22,4.350051,-5.272942698914065
39.369125,23,4.3981,-6.193071615804402
39.616646,23,4.461,1.3244113676596627
44.187592,24,4.51243,-3.668337402706275
96.018471,37,4.584344,-0.5526109710605278
0.0,15,4.614438,2.5258310873571674
62.441315,29,4.68564,14.111130444288952
6.114203,16,4.723732,-6.367582353715435
0.0,11,4.742905,-0.757763410663426
16.562973,18,4.773149,5.251150676050223
