#{"t_start": 1789349364.534553, "env_id": "Walker2d-v5"}
r,l,t,task_return
0.0,14,0.62799,-0.9095022972972586
15.763345,18,0.666432,3.931968119201064
0.0,14,0.695577,2.4991703242912835
0.0,14,0.72413,-2.3172308936472876
0.0,12,0.750503,1.093767574288268
42.517227,24,0.808869,-5.426144354699197
33.23925,22,0.855873,4.7307592587831415
0.0,15,0.880003,-5.4696177341224335
46.703049,25,0.937562,-1.1791261533345259
21.601982,19,0.97892,-1.4189928038988682
0.0,12,1.003543,-1.0097382271183242
5.912008,16,1.039371,5.507112799247843
22.402094,19,1.077034,-8.50156851423626
0.0,13,1.099609,-9.42519756928669
0.0,8,1.116411,-5.942718874229566
43.49593,24,1.16778,0.7923702423780377
0.0,15,1.199526,4.403147066305751
0.0,13,1.229418,-2.718806086863893
11.24043,17,1.259814,4.891980548670967
0.0,8,1.274241,-4.827017153724146
0.0,7,1.286039,-3.179190202551278
11.006411,17,1.318794,-1.5652385760027716
56.883305,28,1.377373,-1.2418747239517747
72.736496,31,1.430277,8.420979443068525
0.0,15,1.454912,0.08030110173157978
0.0,12,1.480189,-8.145273567273753
0.0,15,1.509851,0.9474389155260705
56.721066,29,1.5745,7.196596584938469
0.0,15,1.610979,-1.3531088403112985
11.289819,17,1.649125,-4.996686258283286
15.9277,18,1.680825,-5.018455854389092
32.815319,22,1.720274,3.9400652494137605
15.296175,18,1.757798,-2.0184144793360677
45.347107,25,1.807411,0.2690149319695082
0.0,15,1.835249,-2.5431365905245107
5.959334,16,1.874631,3.004490490570494
46.264687,25,1.937631,-8.516145487258253
65.119446,30,2.009406,3.05083844102906
0.0,12,2.035465,-11.471273629697757
11.19603,17,2.077465,-11.571457955664423
98.564804,42,2.177485,16.884139720426596
40.88546,23,2.241419,-3.529170179045576
0.0,15,2.269838,-1.395673932304857
0.0,14,2.302265,-7.458176353858576
0.0,13,2.338742,1.7448147063656165
45.217503,24,2.397848,-2.9887484100353325
0.0,11,2.422581,-4.906533462464068
5.93926,16,2.456512,-1.4930274429575676
5.87032,16,2.490492,-5.531550774673049
25.656658,20,2.534362,4.876259822617342
0.0,14,2.561924,0.2338999424570749
0.0,15,2.593843,-7.384359174989619
20.649115,19,2.630986,-14.619555197104853
43.598724,24,2.687988,0.3962083929907071
0.0,11,2.70865,-0.6735064728813445
0.0,14,2.739857,1.06409603794732
25.352945,20,2.782827,-1.6983686169863486
0.0,11,3.322751,-3.8141281151107025
30.362947,21,3.369703,1.4006179997960388
16.722452,18,3.420029,-1.9774799950398314
66.455414,29,3.488629,18.656200528250555
0.0,9,3.506689,-3.8594651871305063
104.321396,42,3.600564,17.910736016527206
0.0,13,3.623232,-6.54825827503684
101.070717,44,3.729949,24.370750230579073
0.0,10,3.747313,-5.792240387823956
97.447403,40,3.838842,-1.900279184004731
26.562943,20,3.88508,-4.133481629539403
5.950747,16,3.92096,1.0060551846095995
0.0,14,3.955554,-8.892702288219834
102.904465,45,4.060579,6.76548086942072
68.428299,30,4.120422,6.5655244801337505
11.487831,17,4.156534,-5.8420049378493
15.984332,18,4.199314,-2.0572794750138517
0.0,15,4.23717,-2.6895263038193518
94.246834,38,4.327308,18.888971890839006
11.178667,17,4.369161,-6.444455954482859
0.0,14,4.398347,2.09715754967758
46.214436,25,4.46522,-1.2928007102473362
0.0,14,4.494588,3.3408840086299616
38.486252,23,4.540511,0.21541010476178923
20.708708,19,4.577423,0.4749617466179668
123.883102,56,4.711181,-8.380151462741544
15.216568,18,4.742751,-4.044204426050268
113.268257,54,4.858373,-3.4054786491635753
86.591782,35,4.944442,5.947353096867106
40.699448,23,4.998213,6.0309731313567685
15.01536,18,5.038362,-3.561059613065317
35.403412,22,5.093644,-0.012044870849571954
10.868735,17,5.124066,0.5016827638797843
73.024574,32,5.205783,10.700862371087961
11.166105,17,5.239751,-2.67232054045523
92.208565,40,5.322972,11.132702333975892
5.944613,16,5.366408,-4.246278389702582
64.085777,30,5.440221,7.158702302017647
74.359344,33,5.540013,4.01646040470408
0.0,14,5.577284,-2.1865646429540546
66.617371,31,5.652439,5.015890126210128
41.931587,23,6.308892,0.8939242091257963
57.004978,27,6.388504,-3.466057543596776
42.391548,24,6.475227,6.6166472148998245
26.576807,20,6.533492,6.11851702263838
39.679783,23,6.602011,14.688604009887275
67.328758,30,6.692522,8.86981024609636
0.0,10,6.72595,-3.214287546759093
75.793953,33,6.963038,1.2081274332598095
21.867445,19,7.077641,5.224359855616463
11.549907,17,7.137045,-0.6574011185378928
48.033253,26,7.240249,-2.190115808576217
43.024689,23,7.325066,-10.923309941924932
25.194721,20,7.405511,2.9601019187673927
21.800694,19,7.519631,3.7900876796692025
5.772304,16,7.616825,-0.2622171357148513
37.742863,23,7.953398,-6.006840547312391
41.626011,24,8.525096,-3.5097733410070306
102.725693,44,8.953715,1.9082343587968489
87.633331,38,9.560357,3.1836071723495434
5.925116,16,9.663799,-7.0503902838923285
20.72724,19,9.769218,-1.928179812107758
16.150736,18,9.848638,0.5179554872572314
20.069521,19,9.944519,1.0209242861565113
113.343338,47,10.206281,10.17242668734993
94.20118,43,10.413516,11.586704941427543
100.293678,41,10.600626,10.196157893707815
113.69754,53,10.86725,-2.6951544934355542
57.83897,27,10.968995,-3.5544479688618846
34.350822,22,11.058632,-5.349144175627576
44.580147,25,11.154925,-0.2300487511028475
122.631821,61,11.448141,26.94434023426659
105.922447,45,11.778428,-1.8917418459376956
86.538185,36,11.954267,1.8788331741953717
22.046288,19,12.067703,-6.8607013972959265
104.270325,45,12.294132,17.38698961939473
0.0,14,12.343667,-0.6404859003773355
0.0,15,12.414455,-2.4222470006078267
93.649971,40,14.027548,1.1961796233970678
64.35421,29,14.167418,2.6104651318160053
0.0,14,14.224367,1.995593217883341
109.160385,47,14.513942,19.25359786380243
140.554642,94,14.927793,8.272052451332037
131.034988,60,15.183799,-2.9975933040366503
76.040154,33,15.318463,-0.39282607040702455
58.946671,28,15.439647,-5.676190605107338
81.053185,34,15.594696,21.55855091593772
102.575272,44,15.769639,19.432359794740115
59.431171,28,15.884392,-1.6320794790220057
5.903471,16,15.935104,0.9150686582405265
90.967934,39,16.065812,-2.15546625694585
110.452805,77,16.344516,53.42977490500584
46.373302,26,16.422097,-1.693991296537315
74.096382,33,16.507485,-2.687639467597689
39.771385,23,16.589767,9.786679625693148
5.95439,16,16.644009,-0.7126397807602597
85.220642,37,16.753875,-0.5806074211589397
88.889503,39,16.886401,12.681386537714085
29.956747,21,16.949546,-7.084927652227339
109.660065,47,17.105444,0.49223305523033556
80.109482,35,17.217666,-1.3566732438908502
94.426125,38,17.33586,-0.6038863002003463
65.398262,30,17.451469,0.35858825383113246
86.763176,35,17.569891,13.799943519374205
123.661484,56,17.826182,9.133796590288634
64.269226,30,19.119467,9.216987623538182
79.537315,34,19.29939,6.834897786382161
0.0,15,19.365724,0.08005484009212815
83.580208,34,19.580153,0.809133755370623
121.326622,56,19.868986,18.762669385540953
131.944855,73,20.288347,19.688603694918317
93.012276,38,20.513106,14.067580841987027
112.661583,53,20.804413,-1.5842433683291972
65.327553,30,20.992035,12.584504422375975
76.760231,33,21.22734,-2.1753535934162587
59.12878,28,21.372666,-6.72665261437648
39.984558,23,21.532829,-6.9109048110368025
121.803917,61,21.838909,29.40787931782888
146.562485,110,22.430476,-29.508599911054365
45.374332,24,22.55425,0.08701003905740567
92.966354,37,22.722915,7.238571551651869
54.580349,27,22.854414,3.635342115758446
131.737823,72,23.202241,-7.554665714145124
127.971588,63,23.51347,-0.27308283844772774
124.28849,66,23.805778,23.665045514435395
100.884659,41,23.996226,7.884424624016574
48.569225,25,24.108565,-3.0937714018962374
101.754921,43,24.305792,-1.1181639278386872
111.384537,49,25.263511,8.880205653121454
143.666916,82,25.551773,-2.046851833160865
105.339157,47,25.745621,12.594981961281524
139.497086,82,26.060315,34.078906256480224
101.949532,41,26.20792,-0.4019768747489265
107.859406,42,26.36991,15.212601377031453
128.794037,69,26.661937,-19.860755190884888
145.255569,111,27.063019,18.925827539536094
32.838097,22,27.133211,-0.9251005955357929
139.950531,79,27.386494,35.086226605492854
145.196136,94,27.643149,-13.56764468683929
121.73333,55,27.771681,-2.165521337977401
86.962868,37,27.869995,2.7943552467956976
130.909653,74,28.038721,24.80551292697284
144.580124,116,28.281596,54.58120830831952
64.566681,30,28.336676,7.679042962076708
141.953186,121,28.876742,-7.147996887857593
137.252518,87,29.0509,41.49649489827855
50.552288,26,29.100414,-5.655175490808621
69.671448,31,29.163011,12.466942602395669
136.270782,72,29.294762,35.74832290750927
139.623871,87,29.4559,15.450960189529305
154.675934,198,29.834388,134.3240372722681
52.690933,26,29.879385,9.734490682120466
129.772919,69,30.007218,-12.157752994003701
134.71344,77,30.146759,34.5702326037023
145.442963,112,30.357247,13.911051998022584
61.501331,29,30.410905,3.626553912124746
142.768051,108,30.601642,-3.675334027003663
