#{"t_start": 1789349368.705386, "env_id": "Walker2d-v5"}
r,l,t,task_return
0.0,10,0.6296,-2.888369090463161
0.0,11,0.651615,-3.6103071055959393
0.0,10,0.668553,-6.041079194015502
0.0,13,0.692627,-3.7121323866845093
0.0,12,0.711364,-5.9302313089359195
0.0,14,0.737981,-0.09864133795093166
59.484962,28,0.791101,-2.6946387766042372
51.212894,25,0.841088,-3.6713553498592084
5.939035,16,0.873229,-8.094168182422266
10.911392,17,0.907769,2.0344651719488995
54.401585,27,0.973243,-0.7704120267562117
0.0,13,0.998074,-2.466245646307806
22.01997,19,1.034569,2.5666085902763807
0.0,13,1.054419,-3.4346374036309433
32.321232,21,1.096293,-5.505515483275224
0.0,12,1.117647,-0.27770512865006314
33.862873,22,1.169995,-12.731320290949386
21.129648,19,1.214623,2.8932590645912715
11.057233,17,1.254469,4.165351038372852
5.948797,16,1.294069,-4.80971691002807
0.0,15,1.325822,-0.5454349227955495
0.0,10,1.348777,-2.7448706994621714
24.951292,20,1.39142,-0.311517704805754
0.0,12,1.415367,-2.1707495653775104
39.463341,23,1.471492,-2.9815847172534053
0.0,14,1.499686,-1.430656247906668
37.474911,22,1.550373,7.879059365745592
0.0,11,1.570809,-0.5290240599379716
25.036777,20,1.615728,-9.75688421257295
11.374993,17,1.652941,3.1272802861793574
0.0,13,1.679547,-5.745898234507539
34.982052,22,1.731226,-7.912824825885417
0.0,13,1.766761,0.3605990875358218
0.0,9,1.786887,-5.085151361796687
44.830154,25,1.839693,1.0748153778305019
24.684135,20,1.874435,4.87785238646455
62.643322,29,1.929355,4.829058776108134
87.425613,37,2.053409,2.288678612291032
0.0,15,2.104435,-0.9614609089236886
26.047842,20,2.154847,-0.9011776782505405
0.0,10,2.181511,0.34846128828996836
0.0,14,2.219605,-2.0359981776742733
41.012531,24,2.275196,-2.281013742072045
40.59906,23,2.329729,-3.1441520674175543
0.0,12,2.356681,-4.353627894816085
5.870898,16,2.394881,-8.410053165258056
26.886293,20,2.447894,-4.967231927985437
36.035587,22,2.510475,-0.8430209346684623
0.0,12,2.541809,-2.846902191089268
0.0,7,2.557926,-4.093761635270598
0.0,10,2.581972,-4.037935173363731
0.0,14,2.615941,-7.898911521737421
43.884777,24,2.784388,1.7870399768519836
0.0,11,2.829501,-2.5529469691856095
11.322598,17,2.895317,-2.71406033409934
52.700035,26,2.964671,-4.8367055059172515
0.0,9,2.992215,-4.8494606524102775
44.087269,24,3.086019,1.9931947014465687
0.0,12,3.113326,-3.518993712204339
45.734352,24,5.606495,-0.7679179635340379
105.038132,44,5.842938,-0.9368614314182024
16.419384,18,5.928477,3.1362067480713938
10.893565,17,5.999872,-6.135372538555825
25.62875,20,6.079365,3.0198535640807376
75.255226,34,6.224469,1.772567868986916
47.305977,25,6.308274,0.5224329028108737
47.205318,25,6.392789,6.820108173565183
46.83902,24,6.519666,-0.5699032954091713
58.804577,28,6.644432,3.4954410241830214
19.869986,19,6.715329,-3.791593742882044
128.272766,56,6.937117,24.33731812106697
0.0,13,6.990799,-9.542444743299246
38.185944,23,7.068236,-3.167136971171312
31.711597,21,7.138128,-4.3267858262099015
60.746326,28,7.318383,9.74023093547332
66.075302,29,7.51225,9.76102867486269
26.493523,20,7.615266,-0.6422450385330823
19.53636,19,7.70587,-6.799110605222038
31.474009,21,7.821487,4.231934769688955
6.082105,16,7.908608,1.3572077414632893
60.10957,28,8.040464,1.8893643467287677
0.0,14,8.096998,-4.415328648161556
0.0,8,8.116298,-3.78045025164517
73.948334,33,8.271041,3.4475544258793778
46.152935,25,8.401477,4.298606410237986
15.893759,18,8.47468,6.629199208435737
0.0,9,8.513914,-1.921378103362826
32.302856,21,8.607149,0.2555174349499476
11.271289,17,8.682943,5.217479381013751
61.568325,28,8.974401,-6.9559150054877446
16.377615,18,9.07513,-4.484856919779827
97.10112,41,9.415792,5.080327170736975
5.943832,16,9.51697,1.714949862621007
86.72245,37,9.741254,10.262290377794354
20.954361,19,9.835485,-4.596864449155391
0.0,15,9.890875,-4.528788182105011
0.0,15,9.944256,4.080823048261176
0.0,14,9.996154,1.6581321897561392
16.093622,18,10.068693,-7.560753906992923
44.083332,24,10.223942,4.59969511371422
0.0,14,10.275271,-5.663320094081453
0.0,15,10.328012,1.422269756244751
37.440811,23,10.389391,-6.130049430715076
61.239906,28,10.479424,0.8158634839608281
0.0,12,10.506547,1.5299579691894336
0.0,12,11.301899,0.1798245776211973
0.0,13,11.336586,-5.765661140337108
45.243317,24,11.40832,-3.1602274096198917
6.054746,16,11.471445,5.632279145904929
11.322833,17,11.52597,0.12652242851634043
44.107334,24,11.602245,-7.583118963172287
52.142818,26,11.684335,-2.038944607061382
119.910683,52,11.860418,34.18278435577687
11.312882,17,11.921985,0.7488422544984741
18.490278,19,11.978125,-1.0613476345896085
83.070717,34,12.077717,6.1190664987219865
26.33316,20,12.147828,-7.888549433443599
16.964365,18,12.215216,5.619563083877006
59.130352,28,12.293776,1.8132709034555274
25.854404,20,12.350437,1.8685118815272082
49.296661,26,12.425523,-4.474410314655333
94.973068,40,12.552296,16.834073384008242
0.0,15,12.599669,-2.4607579320322315
39.996372,23,12.67187,-5.38619858118481
94.721657,40,12.79031,10.425852585157017
97.236725,39,12.906043,13.794614977735023
106.400688,48,13.065197,23.92454755635916
107.997025,46,13.201059,10.730200806317503
88.447083,39,13.31655,-2.675703762105746
29.043093,21,13.383963,-8.580494020291608
57.922775,28,13.467448,3.008026432218024
0.0,12,13.504831,-2.017460268490394
5.995632,16,13.556532,-1.337952000830962
5.852417,16,13.616523,-5.410436687808847
91.756325,38,13.819187,-3.720297169503941
76.955101,33,14.023609,4.868510676364367
82.365395,35,14.301691,6.734636517136774
25.074799,20,14.38723,-2.992130575651728
58.130432,28,14.532573,8.936139323269074
82.937988,35,14.803385,4.738150259464357
62.239304,28,14.954694,2.9657153592707566
57.328762,27,15.078886,19.15784895583967
52.872726,27,15.181941,-2.6935769970827224
49.157154,25,16.23789,14.413334750231929
5.973527,16,16.316165,-0.5426583903072401
34.656803,22,16.40795,2.750188102914569
31.268875,21,16.526232,-1.55044626352165
64.490051,30,16.687262,6.386541108050771
74.821487,32,16.936733,-1.6660412550436694
108.92662,44,17.142461,-3.1826220086549517
77.460266,36,17.363151,2.697546810169425
110.671852,59,17.66209,35.731828824320125
30.27338,21,17.776218,-3.4545036969771648
107.466187,48,18.031597,29.244838892563227
94.624939,39,18.194462,9.72110791975048
110.171776,49,18.435851,0.009737301763257822
141.831177,97,18.850417,16.326330127708786
51.878811,26,18.983925,0.6147263036596649
33.530567,22,19.075976,-7.729460254648692
32.889454,21,19.15329,3.342995048111314
11.047863,17,19.217496,-2.9159768256463323
94.498497,41,19.405298,16.3958641421169
30.765545,21,19.497136,-7.832668087932046
11.515478,17,19.565784,-4.910592221125735
11.220781,17,19.627065,0.453761703538249
59.364223,27,19.739608,-3.6874299881989403
54.664864,27,19.872097,1.2159384300684768
98.770874,44,20.044506,27.957384646308128
15.278841,18,20.133266,-5.745849477770033
75.58403,36,20.301477,9.483425509675246
0.0,14,20.372147,-1.6087143142965736
35.552822,23,20.459058,1.6308689061827337
0.0,12,20.542245,-0.5897220401469423
111.688339,45,20.718692,8.169956024947236
31.0921,21,20.80927,6.846528733228129
79.398621,34,20.938263,7.749726418510254
104.162025,44,21.684951,3.2323626485715087
124.515945,59,21.896566,33.6114548492682
75.953873,34,22.026295,5.398343613241707
141.613403,85,22.33115,27.73647398768787
127.701324,60,22.567178,3.566620871281751
79.324844,33,22.685147,-0.0406105000314001
77.307426,34,22.799826,8.891697835372538
82.003082,38,22.923653,9.804672107436682
120.502548,58,23.10439,29.20253287256541
111.963646,46,23.244355,5.8406266616660245
22.011932,19,23.294726,2.2272171785850863
70.186607,32,23.388793,8.018851907192145
28.724239,21,23.431588,-10.369055599117685
45.997097,25,23.499254,-11.136790877680284
108.460678,48,23.614636,-6.827744539836742
82.098862,35,23.688156,22.05074112949746
97.994896,39,23.769291,1.414011292370227
26.229446,20,23.814144,0.3892776307424932
109.270073,46,23.9088,15.447512134084267
131.537354,62,24.042087,3.716558254105188
71.522308,30,24.100722,-9.226337663860573
73.856262,30,24.160731,5.837557314239246
134.728134,75,24.298501,17.24992489900564
98.213043,45,24.385758,25.812808788486468
106.998062,47,24.757348,17.753300531084673
83.601189,41,24.834637,9.288168099547534
139.269669,89,24.999383,32.4460189706305
135.691956,76,25.140815,9.599101783749434
90.6259,38,25.209393,5.120827609536554
124.545311,61,25.320686,26.403934402396185
105.500137,42,25.401042,8.221910531522285
130.080078,69,25.518252,-15.16651553659739
145.587204,112,25.716124,15.975077969137823
66.443802,30,25.763956,6.788474163780705
