#{"t_start": 1789349368.710369, "env_id": "Walker2d-v5"}
r,l,t,task_return
0.0,14,0.630422,-4.353484625950085
48.739807,25,0.681983,1.9663054829488449
16.327585,18,0.709525,0.31506006951626886
0.0,11,0.730047,-0.30499118560250926
28.285624,21,0.768766,4.690124582979577
0.0,13,0.794147,0.13678530747466988
0.0,11,0.814914,-0.39309261236927284
0.0,12,0.841182,-0.6952517465588647
130.5401,62,0.977116,-14.278493693811422
16.669912,18,1.011584,-7.871679762354226
0.0,13,1.034216,-7.49419190734548
46.832142,25,1.077148,-4.017187489427184
85.045883,34,1.149594,9.29730790438791
0.0,14,1.182948,-0.6987209220534151
0.0,9,1.204334,-1.4787698184823657
68.447838,30,1.277328,10.923627013288252
34.899696,22,1.327087,-5.010784934933809
25.906866,20,1.370473,-6.535551427852824
0.0,14,1.399262,-2.108344459394621
0.0,14,1.4287,-1.3888544576275597
0.0,14,1.464586,-3.5758901586304277
0.0,15,1.495046,-7.165516456688056
45.477966,25,1.55343,-1.4471758232201923
0.0,13,1.575618,-4.317696295174864
0.0,9,1.59436,-3.137739715580045
16.067701,18,1.634139,-8.728656137663243
27.482145,20,1.680433,8.45906473202662
0.0,7,1.696141,-4.838403757725972
51.577244,26,1.762883,4.942109035164139
0.0,11,1.786837,-1.7629650064806464
0.0,13,1.812389,-0.4546915647851767
0.0,14,1.839571,-3.04739652821959
0.0,14,1.865518,-0.9352072931384537
0.0,8,1.878764,-6.743828251347004
0.0,15,1.90651,3.020694414691446
0.0,8,1.925083,-3.843119338725982
42.707954,24,1.981342,-4.870911293471476
5.953145,16,2.063685,0.8610889646383126
0.0,13,2.104037,-4.6838519194380055
53.232655,27,2.172283,-5.30033895488536
10.981444,17,2.218274,-10.429317508072819
0.0,15,2.251518,1.9141809008376454
10.599074,17,2.289341,-0.8022019366320972
0.0,10,2.313848,-0.7725821338249019
25.636559,20,2.363427,-0.2311354867449743
0.0,13,2.39402,1.4555742575882316
5.954685,16,2.433207,4.892838413455959
34.197395,22,2.49885,-2.162828227270565
24.139446,20,2.549734,-8.830431341560129
15.673914,18,2.591661,-6.440560442374195
21.765194,19,2.666826,-13.896551121037465
0.0,8,2.769855,-3.5870745387317755
26.472775,20,2.860386,4.946752958087456
0.0,10,2.883314,-5.4658254200595415
0.0,15,2.921251,-5.541526771627849
29.25251,21,2.98291,5.199750845953561
38.589077,23,3.068017,-0.8373064252759346
0.0,10,3.100231,0.73581109727176
20.98074,19,3.146198,-0.7228934019198963
0.0,14,5.617427,-4.885772644626897
45.797829,25,5.758317,-3.72621704933751
15.863637,18,5.857146,5.017675885550129
60.48505,28,5.980221,2.3209900884764183
78.901016,34,6.133528,6.201053555486336
49.858898,25,6.224022,2.5905171107123373
42.23819,24,6.304788,-4.168289096598928
