#{"t_start": 1789350253.151583, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
3.412769,34,0.405248,3.412769202528267,-0.2358771043738259,34,0.0
16.862073,41,0.413123,16.86207318868642,-0.1841251198935013,41,0.0
-0.220354,15,0.415956,-0.22035350713902968,-0.11339112172689482,15,0.0
-0.582959,17,0.419124,-0.5829587727620655,-0.13224726134851456,17,0.0
0.802498,11,0.421222,0.8024982035718713,-0.07331195485882473,11,0.0
-3.24572,9,0.422981,-3.2457201018139017,-0.08975527247183117,9,0.0
8.008507,24,0.427416,8.008507375172282,-0.11933855532223407,24,0.0
-16.354804,18,0.431109,-16.354803720700737,-0.26634669940901695,18,0.0
-3.905043,34,0.437549,-3.9050430630621937,-0.29443313641394264,34,0.0
-3.566313,16,0.440642,-3.566313126203525,-0.1481717794567154,16,0.0
-1.727096,21,0.444529,-1.7270955983631118,-0.1732833413538246,21,0.0
13.889217,36,0.451131,13.889217068262736,-0.16799456748043476,36,0.0
3.517885,33,0.457574,3.5178845894263038,-0.2270535684149929,33,0.0
-1.316217,12,0.459969,-1.3162165514560864,-0.09825637631948626,12,0.0
13.071484,28,0.465527,13.071483876224233,-0.11081646828595662,28,0.0
-0.030581,30,0.473319,-0.030580646538564293,-0.23150804367060526,30,0.0
-4.33207,15,0.47641,-4.3320704460153046,-0.14632366306400646,15,0.0
-2.565528,11,0.47857,-2.5655284152107853,-0.10028823462927533,11,0.0
-1.266817,29,0.484302,-1.266816775608266,-0.23342719826802924,29,0.0
-0.057358,11,0.486395,-0.05735800437500704,-0.08021202360574059,11,0.0
-1.55792,14,0.488901,-1.557920374292909,-0.1161053457732501,14,0.0
-2.819529,15,0.491878,-2.819529026172305,-0.13419484456820932,15,0.0
2.595725,19,0.495691,2.595725375862961,-0.12273133618807658,19,0.0
0.555211,13,0.498234,0.555210504556378,-0.0912141618766537,13,0.0
-7.759893,11,0.691516,-7.759892578135906,-0.14178600337182515,11,0.0
-5.000184,9,0.693337,-5.000184058308641,-0.10377539282649044,9,0.0
-9.823846,19,0.696962,-9.82384640125111,-0.22212922990471276,19,0.0
-2.552969,12,0.699163,-2.5529691593883665,-0.10811196433244206,12,0.0
0.864747,18,0.702407,0.8647467042514215,-0.12867118845212527,18,0.0
11.147314,27,0.707356,11.147314303165642,-0.1181715593946549,27,0.0
-6.701981,19,0.710779,-6.701980969887265,-0.19713217399144575,19,0.0
0.604504,24,0.715054,0.6045037596540295,-0.1785713115725236,24,0.0
-3.431277,10,0.716865,-3.4312773363192473,-0.09921684629748978,10,0.0
2.172097,13,0.719157,2.1720974283504275,-0.07827675590758996,13,0.0
-1.949142,11,0.721688,-1.949141751546867,-0.09531469835464275,11,0.0
-3.161857,18,0.725085,-3.1618574494430884,-0.16086200099153825,18,0.0
-7.266963,27,0.730135,-7.2669633853562905,-0.26547523290633174,27,0.0
-1.874003,23,0.734457,-1.8740029312064495,-0.19041119039550394,23,0.0
-2.145304,15,0.737187,-2.1453039184648053,-0.12880013670546372,15,0.0
-5.9156,17,0.740844,-5.915600114628225,-0.1749267071849519,17,0.0
-2.895513,10,0.742935,-2.895513143330094,-0.09490324054889551,10,0.0
0.124196,16,0.746134,0.12419561596122097,-0.11859866831477728,16,0.0
9.825534,24,0.75144,9.825534354680295,-0.10470874598794368,24,0.0
-8.119137,14,0.754349,-8.119136685259576,-0.16861018165469863,14,0.0
-1.95858,12,0.756626,-1.958580148648663,-0.1033994873343796,12,0.0
1.332673,14,0.759355,1.3326732251357614,-0.09303568570509005,14,0.0
17.189871,31,0.765408,17.189870941839793,-0.10168284718196352,31,0.0
3.45208,30,0.77138,3.45208037767651,-0.20368409284896416,30,0.0
2.057563,18,0.774958,2.0575628858427635,-0.11908270711887992,18,0.0
-8.104489,15,0.77793,-8.104488626371403,-0.1764530110285974,15,0.0
-6.626241,18,0.78171,-6.626240693258593,-0.188557574324254,18,0.0
-8.252164,21,0.785585,-8.25216387970255,-0.22546326040952455,21,0.0
3.660777,17,0.788752,3.660776575738386,-0.09829827190887325,17,0.0
19.069934,35,0.975791,19.069934231011146,-0.11849337924818737,35,0.0
-1.164516,34,0.982497,-1.1645158273312057,-0.27244314713508244,34,0.0
-3.666554,19,0.986308,-3.666554228791875,-0.17290451694777534,19,0.0
8.783999,33,0.992934,8.783999325581163,-0.1848589824871958,33,0.0
-5.155085,16,0.996641,-5.155085093164855,-0.1609029648331742,16,0.0
2.757443,15,0.999703,2.757443105392606,-0.08958161781590072,15,0.0
-4.270195,14,1.002429,-4.270195074920655,-0.13778157374602645,14,0.0
2.45585,14,1.005778,2.455850000875538,-0.08400569092362746,14,0.0
7.254668,23,1.010343,7.254668311816168,-0.1173938636200913,23,0.0
30.921144,46,1.019898,30.92114428934201,-0.11146953035961635,46,0.0
8.265811,23,1.02484,8.265811256588204,-0.10928770758965047,23,0.0
5.731752,18,1.028098,5.731752403803799,-0.08972653536851202,18,0.0
5.315896,16,1.030958,5.315896195750503,-0.07714749278001633,16,0.0
-2.967506,12,1.033665,-2.9675058752353003,-0.11139838428669324,12,0.0
-13.854001,21,1.038124,-13.854001149638544,-0.27031418636989585,21,0.0
0.39995,22,1.042529,0.39995023618238057,-0.16423528638122453,22,0.0
-1.361773,18,1.046479,-1.3617728651527359,-0.14648120484391455,18,0.0
5.03013,18,1.050059,5.030129903622868,-0.09530934735631226,18,0.0
11.225411,20,1.054172,11.225410827737015,-0.06174934366476764,20,0.0
1.663359,13,1.05665,1.6633585410997902,-0.08237303584246734,13,0.0
-0.783522,15,1.059574,-0.7835219434727135,-0.11788153605612678,15,0.0
-2.498306,22,1.063816,-2.4983064341333825,-0.1874425630001151,22,0.0
-4.191266,23,1.068201,-4.191266390849458,-0.20899571413876933,23,0.0
-0.530275,15,1.071085,-0.5302746335740084,-0.11586216571852331,15,0.0
36.994674,72,1.266405,36.994673962868106,-0.27028056511711107,72,0.0
41.090672,50,1.276301,41.090672461354444,-0.06211784242062798,50,0.0
-9.75299,14,1.279118,-9.752990388000484,-0.18168583982608177,14,0.0
-3.24814,10,1.281474,-3.2481399611640684,-0.09771322652703222,10,0.0
0.830975,11,1.283597,0.830974555896423,-0.07305485216270524,11,0.0
-4.034051,9,1.285396,-4.034051422218264,-0.09604846859035963,9,0.0
-0.158271,13,1.287783,-0.15827139425929693,-0.09689750637530536,13,0.0
-4.056981,12,1.290431,-4.0569807614971705,-0.12014494576515913,12,0.0
11.578782,36,1.297475,11.578781936294932,-0.18645008635539137,36,0.0
-2.340302,10,1.299432,-2.34030160985837,-0.09041810524625303,10,0.0
-6.653483,18,1.303327,-6.6534827515245185,-0.1887614827217495,18,0.0
2.011853,30,1.309104,2.011853142923213,-0.21514765765106303,30,0.0
-2.187191,11,1.311802,-2.187191099171124,-0.09718796758361584,11,0.0
-3.651135,11,1.313944,-3.6511352298164326,-0.10893470818239269,11,0.0
-6.883044,16,1.316951,-6.883044447780116,-0.17467269428564233,16,0.0
-2.563173,13,1.319396,-2.563172706087901,-0.11616097946306199,13,0.0
-4.092657,14,1.322368,-4.092657049654476,-0.1363927136445601,14,0.0
-2.726067,16,1.325439,-2.726066713907125,-0.14141197498039396,16,0.0
