#{"t_start": 1789350253.15313, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
-3.231299,15,0.399773,-3.2312985131229897,-0.137491331364916,15,0.0
5.37344,20,0.405391,4.886288849111511,-0.11244762846875299,20,0.0
-9.200503,26,0.412355,-10.156892385367195,-0.280559484730742,26,0.0
-2.118716,9,0.414129,-2.118715831352435,-0.08068611638467044,9,0.0
-4.537238,16,0.417215,-4.64612565593596,-0.15679501514574792,16,0.0
-3.967922,8,0.419075,-3.9679216130217143,-0.08752640723906427,8,0.0
-9.838117,54,0.436383,-12.062328524171022,-0.5191145083721215,54,0.0
-3.368391,11,0.43845,-3.3683908877076525,-0.10672264083260442,11,0.0
-3.48784,10,0.440385,-3.487840270902878,-0.09965809660721503,10,0.0
-3.036191,23,0.446312,-3.731231678662051,-0.20529924922651183,23,0.0
-2.731842,10,0.448353,-2.731842377775667,-0.09362347611388819,10,0.0
-5.342663,17,0.451723,-5.550005582909437,-0.17197708275767684,17,0.0
-2.611279,14,0.454121,-2.6112792435864787,-0.12454279947919314,14,0.0
-3.675828,13,0.456377,-3.67582757492279,-0.1250811522631503,13,0.0
-5.151234,12,0.458793,-5.151233723475444,-0.12885536313872661,12,0.0
1.04318,16,0.461911,0.9353409187418862,-0.11211621925680527,16,0.0
1.381457,18,0.465567,1.0954085277545205,-0.126764855519002,18,0.0
6.106065,24,0.47217,5.367232120822692,-0.14042540124342928,24,0.0
-3.836285,12,0.474669,-3.8362853728651354,-0.11841131511438438,12,0.0
-3.966402,13,0.477243,-3.966402433905814,-0.12740430941786668,13,0.0
-8.920729,15,0.480362,-8.920728877390163,-0.18301431175903146,15,0.0
-4.061793,20,0.484868,-4.530622244141806,-0.18775438071064499,20,0.0
-4.39142,12,0.487154,-4.391420053805426,-0.12283717846608323,12,0.0
-1.406419,29,0.495855,-2.647073451772939,-0.244483667656732,29,0.0
-2.881721,14,0.498783,-2.8817206774341773,-0.12667094023113468,14,0.0
-1.398881,17,0.502965,-1.6010861002410417,-0.14041886848419058,17,0.0
5.519409,23,0.509295,4.76731833226246,-0.1373160811323886,23,0.0
-3.446146,11,0.511712,-3.446146294485023,-0.10730131780550771,11,0.0
5.579512,22,0.517928,4.988280882397203,-0.12759575158793848,22,0.0
4.010181,22,0.715116,3.336083145006816,-0.14075164889257197,22,0.0
-3.785251,8,0.716799,-3.7852514583722265,-0.08611164183233867,8,0.0
0.799547,12,0.719139,0.7995467140720987,-0.08125883624131991,12,0.0
25.896329,56,0.737107,23.596482651828868,-0.24987118483616724,56,0.0
6.055817,19,0.742091,5.677879164593067,-0.09815086879987824,19,0.0
-4.677049,10,0.744218,-4.6770491564971755,-0.10915959434479429,10,0.0
-3.572688,10,0.746259,-3.572688223845492,-0.10032882755570247,10,0.0
-2.830617,23,0.752658,-3.551244847613666,-0.20388298590777293,23,0.0
9.343098,25,0.759375,8.346947761777761,-0.12455117593192332,25,0.0
-1.724648,17,0.762848,-1.929682314551374,-0.1429769787027831,17,0.0
7.072644,21,0.767839,6.4789726678500745,-0.10768471448478485,21,0.0
-2.512435,26,0.775403,-3.513950138773295,-0.2274282313367463,26,0.0
-7.343408,20,0.780666,-7.821751762335154,-0.214090031716339,20,0.0
-5.077575,11,0.782992,-5.077575333983786,-0.12032323891192048,11,0.0
-2.224496,25,0.789983,-3.1201668741082305,-0.21630008485979849,25,0.0
-5.10572,18,0.793983,-5.398703064428576,-0.17877422574448532,18,0.0
2.390342,21,0.799352,1.8453632638797066,-0.14473609041496524,21,0.0
-6.238368,18,0.803634,-6.529921391101558,-0.18776147429502013,18,0.0
1.72352,24,0.81017,0.8971830440458862,-0.17626178325116112,24,0.0
-0.550405,18,0.814197,-0.8393060107467811,-0.14228342439885,18,0.0
-11.699015,23,0.820527,-12.428285386527048,-0.2748645202526606,23,0.0
4.434931,18,0.82477,4.131930712778309,-0.10249755813419668,18,0.0
4.161478,16,0.828227,4.051685332762395,-0.0872028518535246,16,0.0
-6.47308,9,0.830421,-6.473080344399982,-0.11554444365683635,9,0.0
-3.29133,12,0.832805,-3.291330493107771,-0.11398551678885786,12,0.0
-3.060336,10,0.834847,-3.060335720829233,-0.09620655337486815,10,0.0
-3.138379,13,0.837479,-3.138379141705486,-0.12078869116506281,13,0.0
-7.613823,21,1.023315,-8.159193026400713,-0.22475616439085888,21,0.0
-2.056302,31,1.033053,-3.3286758915205787,-0.26579560609732666,31,0.0
-1.538728,22,1.039368,-2.1624399446155076,-0.1847380906076872,22,0.0
-2.0327,12,1.041807,-2.032700056219887,-0.10397461833160701,12,0.0
14.79277,32,1.051818,13.55232344208234,-0.13880606691807917,32,0.0
0.410404,13,1.054856,0.410404081687189,-0.09239870420286173,13,0.0
-4.066704,9,1.056668,-4.066704004574103,-0.0963403386788592,9,0.0
-2.476591,12,1.059228,-2.476591398703266,-0.10749695243311194,12,0.0
2.377261,16,1.062871,2.268460182640882,-0.10142483339883243,16,0.0
