#{"t_start": 1789350253.154346, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
-6.321063,21,0.396169,-6.869505112144405,-0.21438945436638787,21,0.0
-3.86924,16,0.400151,-3.9793580085386044,-0.15142881408799252,16,0.0
-0.168395,18,0.404325,-0.46550353129702593,-0.1392401703234636,18,0.0
-5.147512,17,0.408596,-5.350811157893467,-0.1703650679406232,17,0.0
-1.93147,14,0.411446,-1.9314701716237979,-0.11903692307383515,14,0.0
-3.791201,10,0.413336,-3.791201428171541,-0.1021029568836936,10,0.0
2.120221,28,0.421047,1.1021127988862003,-0.20656049601320317,28,0.0
3.614286,15,0.423973,3.614286277401921,-0.08264478494911859,15,0.0
-4.785008,20,0.429066,-5.264810024628498,-0.19363687926471673,20,0.0
-0.485312,15,0.431969,-0.4853121140627221,-0.11546106530307236,15,0.0
-8.459814,13,0.434364,-8.459813599707106,-0.16336112844291714,13,0.0
-0.601069,19,0.439193,-0.9622216396150356,-0.15124700017580778,19,0.0
14.681143,27,0.447016,13.59347928573508,-0.09860108458747044,27,0.0
0.116254,23,0.453557,-0.6215789351666167,-0.1803780864028691,23,0.0
2.242998,30,0.462864,0.9840865966426746,-0.22338641853442,30,0.0
2.111049,14,0.465792,2.111048615420381,-0.08675620280858759,14,0.0
4.559689,22,0.472382,3.912445879372304,-0.1362193396547362,22,0.0
3.7376,25,0.479368,2.8704478396955686,-0.16846452599881903,25,0.0
4.061778,22,0.485066,3.4766156967034183,-0.13964067726283996,22,0.0
0.54315,13,0.487713,0.5431504408091405,-0.09131220967959008,13,0.0
-0.430097,14,0.490484,-0.4300970876545036,-0.10709815026089725,14,0.0
-0.677206,13,0.493134,-0.6772055482751257,-0.1010782506196041,13,0.0
0.576397,22,0.498939,-0.0817661099521787,-0.16815438651138126,22,0.0
-6.865659,18,0.502835,-7.15601431696648,-0.19276425700463135,18,0.0
-9.617786,19,0.507283,-10.0015406922966,-0.22355745433089716,19,0.0
-4.692916,11,0.50957,-4.692915746208605,-0.11728755186609811,11,0.0
6.044727,18,0.513658,5.739611851316684,-0.08964766622308794,18,0.0
7.726802,29,0.715023,6.549366886838218,-0.17090185597077853,29,0.0
-5.024596,12,0.717702,-5.0245956429952585,-0.12789158281923965,12,0.0
0.319131,25,0.724557,-0.5996352277993837,-0.19618841197235112,25,0.0
-0.058726,13,0.727119,-0.05872631445370452,-0.09616182981337099,13,0.0
-3.115873,16,0.730524,-3.223693163024861,-0.14535758641274754,16,0.0
-4.7273,16,0.733708,-4.83493941958626,-0.1583024828038443,16,0.0
4.782211,15,0.736506,4.782211099129729,-0.07337953389095069,15,0.0
-2.801853,9,0.738603,-2.8018531148481403,-0.08619075953488889,9,0.0
-2.338914,11,0.740871,-2.338913638904746,-0.09843245753089755,11,0.0
-8.233488,18,0.745065,-8.543935138859844,-0.20387610590001243,18,0.0
0.110087,16,0.748565,-0.0005691990203540165,-0.1195905177768829,16,0.0
-0.569724,26,0.755485,-1.4980276964997954,-0.21132961197983255,26,0.0
2.925932,26,0.763204,1.880361687749714,-0.18434065583155235,26,0.0
-4.143036,11,0.765488,-4.143036170918965,-0.1128851051446833,11,0.0
11.40831,29,0.773713,10.246482503466922,-0.14137335346652818,29,0.0
-12.158484,28,0.782056,-13.246913839114374,-0.32127375633721433,28,0.0
6.088051,20,0.786995,5.589346262530599,-0.10674740772770949,20,0.0
3.953226,15,0.789957,3.9532261376209465,-0.08002289754380591,15,0.0
4.708227,14,0.792705,4.708227329251413,-0.06599418140525326,14,0.0
-4.184742,7,0.794026,-4.184741719581648,-0.08129508090356362,7,0.0
7.804033,20,0.799155,7.311287812371509,-0.0929930268763024,20,0.0
0.730247,15,0.802237,0.7302465465072858,-0.10576570136516218,15,0.0
4.04503,31,0.811424,2.7492021827450985,-0.21721049781519547,31,0.0
-2.269039,21,0.816721,-2.8617926698873886,-0.18237652551959987,21,0.0
2.557742,16,0.820195,2.4500215728625783,-0.10005961821053318,16,0.0
9.8038,18,0.824287,9.49985319498184,-0.05956032539485371,18,0.0
-1.81655,14,0.827292,-1.8165502809600027,-0.11816251109310022,14,0.0
9.302251,34,0.838177,7.86214173046486,-0.2002394531064417,34,0.0
1.281126,20,1.024762,0.7942197808073169,-0.14517947941757048,20,0.0
1.729416,16,1.028274,1.620972884340762,-0.1065631069765494,16,0.0
-5.284789,17,1.03261,-5.492264360194094,-0.17152335135735572,17,0.0
-2.91628,8,1.034331,-2.916280070578039,-0.07913480746766413,8,0.0
0.135683,13,1.037097,0.1356833923002284,-0.09457676833394948,13,0.0
10.407672,25,1.044605,9.527660275197364,-0.11519223885262193,25,0.0
-1.87402,13,1.04735,-1.8740195698325939,-0.1106673905467521,13,0.0
10.72234,28,1.056047,9.721279012750802,-0.13754655990646059,28,0.0
-8.32227,21,1.061204,-8.877762968337839,-0.23044432500777934,21,0.0
-3.84804,14,1.064037,-3.84803972929025,-0.13441752917228325,14,0.0
4.362156,22,1.069657,3.759768889966041,-0.13742547375537012,22,0.0
10.333418,33,1.079247,8.808329677794724,-0.18465163054919886,33,0.0
-2.427133,16,1.082576,-2.534336399857472,-0.1398419226965871,16,0.0
-0.332664,14,1.085395,-0.3326635563828475,-0.1063119979095373,14,0.0
